date	pouleData	DKB	DKB	DKB	DKB	DKB	Kesteren	Kesteren	Kesteren	Kesteren	Kesteren	OEC	OEC	OEC	OEC	OEC	PSV	PSV	PSV	PSV	PSV
2026-03-29	{"results":[],"fixtures":[{"home":"DKB","away":"OEC","homeScore":20,"awayScore":14,"date":"2026-04-04","pHome":0.6211249382666861,"pDraw":0.06273335461855317,"pAway":0.31614170711476075,"guessHome":15,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1241.1110962364864,"awayRating":1162.142332666605,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"PSV","homeScore":16,"awayScore":20,"date":"2026-04-04","pHome":0.39055840445978407,"pDraw":0.06448631303359798,"pAway":0.544955282506618,"guessHome":14,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1280.0799267131993,"awayRating":1365.2171927623183,"homeRd":0,"awayRd":0,"special":false},{"home":"PSV","away":"DKB","homeScore":15,"awayScore":11,"date":"2026-04-11","pHome":0.6811265599446247,"pDraw":0.05519054387722944,"pAway":0.2636828961781459,"guessHome":17,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1365.2171927623183,"awayRating":1241.1110962364864,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"Kesteren","homeScore":13,"awayScore":12,"date":"2026-04-11","pHome":0.3446077876549485,"pDraw":0.06622286126615284,"pAway":0.5891693510788987,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1162.142332666605,"awayRating":1280.0799267131993,"homeRd":0,"awayRd":0,"special":false},{"home":"PSV","away":"OEC","homeScore":22,"awayScore":16,"date":"2026-05-09","pHome":0.7698045733502223,"pDraw":0.04605984585701306,"pAway":0.1841355807927646,"guessHome":18,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1365.2171927623183,"awayRating":1162.142332666605,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"DKB","homeScore":6,"awayScore":7,"date":"2026-05-09","pHome":0.5650725837194094,"pDraw":0.06748190204755483,"pAway":0.3674455142330358,"guessHome":14,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1280.0799267131993,"awayRating":1241.1110962364864,"homeRd":0,"awayRd":0,"special":false},{"home":"DKB","away":"Kesteren","homeScore":-1,"awayScore":-1,"date":"2026-05-16","pHome":0.45359620972357584,"pDraw":0.06961038222603044,"pAway":0.4767934080503937,"guessHome":13,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1241.1110962364864,"awayRating":1280.0799267131993,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"PSV","homeScore":-1,"awayScore":-1,"date":"2026-05-16","pHome":0.2446071305629336,"pDraw":0.053432876119897,"pAway":0.7019599933171694,"guessHome":13,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1162.142332666605,"awayRating":1365.2171927623183,"homeRd":0,"awayRd":0,"special":false},{"home":"PSV","away":"Kesteren","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.63029094514668,"pDraw":0.060417459233150006,"pAway":0.30929159562016995,"guessHome":16,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1365.2171927623183,"awayRating":1280.0799267131993,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"DKB","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.39803221743372796,"pDraw":0.066887001040831,"pAway":0.535080781525441,"guessHome":13,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1162.142332666605,"awayRating":1241.1110962364864,"homeRd":0,"awayRd":0,"special":false},{"home":"DKB","away":"PSV","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.3393340285034605,"pDraw":0.06005729789553382,"pAway":0.6006086736010057,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1241.1110962364864,"awayRating":1365.2171927623183,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"OEC","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.6714269661970637,"pDraw":0.05970220090299827,"pAway":0.2688708328999381,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1280.0799267131993,"awayRating":1162.142332666605,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"PSV"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Kesteren"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"DKB"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"OEC"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.1905	0.21386	0.25201	1241.1110962364864	118.5267044363849	0.2587	0.29006	0.19395	1280.0799267131993	126.43334631647531	0.09473	0.10482	0.43858	1162.142332666605	117.40423321880776	0.45607	0.4973	0.08649	1365.2171927623183	115.10366581352419
2026-04-04	{"results":[{"home":"DKB","away":"OEC","homeScore":20,"awayScore":14,"date":"2026-04-04","pHome":0.6212005674574403,"pDraw":0.0627623545931677,"pAway":0.316037077949392,"guessHome":15,"guessAway":13,"homeDiff":15.928812172838889,"awayDiff":-15.595278299489337,"homeRating":1241.1189882090753,"awayRating":1162.149923863347,"homeRd":127,"awayRd":126,"actualHome":{"name":"DKB","created":"2005-09-04","lastDate":"2026-04-04","firstMatchDate":"2005-09-04","lastMatchDate":"2026-04-04","games":533,"place":"Best","topRating":1751.4716783669714,"rating":1258.2721553817962,"rd":120.98200117102422,"rv":0.05815273296589176,"averageScore":15.787185906334798,"currentDiff":68.74948157794802,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"OEC","created":"1934-01-21","lastDate":"2026-04-04","firstMatchDate":"1934-01-21","lastMatchDate":"2026-04-04","games":1518,"place":"Helmond","topRating":2012.0681333105244,"rating":1146.9457963462185,"rd":119.74110935792045,"rv":0.0567136984135707,"averageScore":15.597658351997286,"currentDiff":66.03938416147844,"origins":1,"startOffset":43.5,"opponents":{}},"special":false},{"home":"Kesteren","away":"PSV","homeScore":16,"awayScore":20,"date":"2026-04-04","pHome":0.3907053232636619,"pDraw":0.06466450435434301,"pAway":0.5446301723819951,"guessHome":14,"guessAway":15,"homeDiff":-14.997885621795604,"awayDiff":12.727376092013174,"homeRating":1280.0909783474717,"awayRating":1365.2261613757034,"homeRd":135,"awayRd":123,"actualHome":{"name":"Kesteren","created":"1986-11-23","lastDate":"2026-04-04","firstMatchDate":"1986-11-23","lastMatchDate":"2026-04-04","games":710,"place":"Kesteren","topRating":1688.292256389459,"rating":1265.6703602141752,"rd":126.85117440890797,"rv":0.058380700151129554,"averageScore":14.355902840172856,"currentDiff":-155.51346091805863,"origins":1,"startOffset":-68.75,"opponents":{}},"actualAway":{"name":"PSV","created":"1916-11-19","lastDate":"2026-04-04","firstMatchDate":"1916-11-19","lastMatchDate":"2026-04-04","games":2172,"place":"Eindhoven","topRating":2240.510013379227,"rating":1379.0537852944321,"rd":117.29896600881672,"rv":0.0553938431120287,"averageScore":18.45115870786403,"currentDiff":45.811263995241006,"origins":1,"startOffset":-211.5,"opponents":{}},"special":false}],"fixtures":[{"home":"PSV","away":"DKB","homeScore":15,"awayScore":12,"date":"2026-04-11","pHome":0.6773682728324968,"pDraw":0.05532237308611043,"pAway":0.2673093540813928,"guessHome":17,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1379.0537852944321,"awayRating":1258.2721553817962,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"Kesteren","homeScore":13,"awayScore":12,"date":"2026-04-11","pHome":0.34378269852492016,"pDraw":0.06633449935319824,"pAway":0.5898828021218816,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1146.9457963462185,"awayRating":1265.6703602141752,"homeRd":0,"awayRd":0,"special":false},{"home":"PSV","away":"OEC","homeScore":22,"awayScore":16,"date":"2026-05-09","pHome":0.7979581798271125,"pDraw":0.042167263302704816,"pAway":0.15987455687018276,"guessHome":18,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1379.0537852944321,"awayRating":1146.9457963462185,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"DKB","homeScore":6,"awayScore":7,"date":"2026-05-09","pHome":0.5207071560378849,"pDraw":0.06850456208413802,"pAway":0.4107882818779771,"guessHome":14,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1265.6703602141752,"awayRating":1258.2721553817962,"homeRd":0,"awayRd":0,"special":false},{"home":"DKB","away":"Kesteren","homeScore":10,"awayScore":12,"date":"2026-05-16","pHome":0.4994598858961121,"pDraw":0.06891386200551036,"pAway":0.4316262520983775,"guessHome":14,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1258.2721553817962,"awayRating":1265.6703602141752,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"PSV","homeScore":18,"awayScore":11,"date":"2026-05-16","pHome":0.21498781570989478,"pDraw":0.04981438133417737,"pAway":0.7351978029559278,"guessHome":13,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1146.9457963462185,"awayRating":1379.0537852944321,"homeRd":0,"awayRd":0,"special":false},{"home":"PSV","away":"Kesteren","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.6674380014372423,"pDraw":0.05732632700561274,"pAway":0.2752356715571449,"guessHome":16,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1379.0537852944321,"awayRating":1265.6703602141752,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"DKB","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.3545632663489777,"pDraw":0.06474832965543176,"pAway":0.5806884039955905,"guessHome":13,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1146.9457963462185,"awayRating":1258.2721553817962,"homeRd":0,"awayRd":0,"special":false},{"home":"DKB","away":"PSV","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.3441990653357294,"pDraw":0.05979852236762684,"pAway":0.5960024122966437,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1258.2721553817962,"awayRating":1379.0537852944321,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"OEC","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.6727810671376842,"pDraw":0.05940529018558366,"pAway":0.26781364267673213,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1265.6703602141752,"awayRating":1146.9457963462185,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"DKB"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":20,"against":14},"won":1,"draw":0,"lost":0}},{"team":{"name":"PSV"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":20,"against":16},"won":1,"draw":0,"lost":0}},{"team":{"name":"Kesteren"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":16,"against":20},"won":0,"draw":0,"lost":1}},{"team":{"name":"OEC"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":14,"against":20},"won":0,"draw":0,"lost":1}}]}	0.23948	0.26995	0.11565	1258.2721553817962	120.98200117102422	0.1161	0.14006	0.24604	1265.6703602141752	126.85117440890797	0.04187	0.04447	0.56915	1146.9457963462185	119.74110935792045	0.60255	0.64039	0.03409	1379.0537852944321	117.29896600881672
2026-04-11	{"results":[{"home":"DKB","away":"OEC","homeScore":20,"awayScore":14,"date":"2026-04-04","pHome":0.6212005674574403,"pDraw":0.0627623545931677,"pAway":0.316037077949392,"guessHome":15,"guessAway":13,"homeDiff":15.928812172838889,"awayDiff":-15.595278299489337,"homeRating":1241.1189882090753,"awayRating":1162.149923863347,"homeRd":127,"awayRd":126,"actualHome":{"name":"DKB","created":"2005-09-04","lastDate":"2026-04-11","firstMatchDate":"2005-09-04","lastMatchDate":"2026-04-11","games":534,"place":"Best","topRating":1751.4716783669714,"rating":1258.824920588022,"rd":118.43207945852417,"rv":0.058149732634624536,"averageScore":15.717446084921336,"currentDiff":69.22755645177563,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"OEC","created":"1934-01-21","lastDate":"2026-04-11","firstMatchDate":"1934-01-21","lastMatchDate":"2026-04-11","games":1519,"place":"Helmond","topRating":2012.0681333105244,"rating":1160.7236697945461,"rd":116.80125956125237,"rv":0.05671107634078576,"averageScore":15.641353218587483,"currentDiff":79.47821872710324,"origins":1,"startOffset":43.5,"opponents":{}},"special":false},{"home":"Kesteren","away":"PSV","homeScore":16,"awayScore":20,"date":"2026-04-04","pHome":0.3907053232636619,"pDraw":0.06466450435434301,"pAway":0.5446301723819951,"guessHome":14,"guessAway":15,"homeDiff":-14.997885621795604,"awayDiff":12.727376092013174,"homeRating":1280.0909783474717,"awayRating":1365.2261613757034,"homeRd":135,"awayRd":123,"actualHome":{"name":"Kesteren","created":"1986-11-23","lastDate":"2026-04-11","firstMatchDate":"1986-11-23","lastMatchDate":"2026-04-11","games":711,"place":"Kesteren","topRating":1688.292256389459,"rating":1250.6924571736804,"rd":122.81787474950143,"rv":0.05837783242611564,"averageScore":14.273023004209186,"currentDiff":-170.5586560861193,"origins":1,"startOffset":-68.75,"opponents":{}},"actualAway":{"name":"PSV","created":"1916-11-19","lastDate":"2026-04-11","firstMatchDate":"1916-11-19","lastMatchDate":"2026-04-11","games":2173,"place":"Eindhoven","topRating":2240.510013379227,"rating":1379.068071025291,"rd":115.0719099689036,"rv":0.055391252417952105,"averageScore":18.364906414640082,"currentDiff":45.412574449806925,"origins":1,"startOffset":-211.5,"opponents":{}},"special":false},{"home":"PSV","away":"DKB","homeScore":15,"awayScore":12,"date":"2026-04-11","pHome":0.6767257948071725,"pDraw":0.055969646764379655,"pAway":0.26730455842844786,"guessHome":17,"guessAway":13,"homeDiff":-0.3986895454340811,"awayDiff":0.4780748738276088,"homeRating":1379.0407494214144,"awayRating":1258.2591195087784,"homeRd":120,"awayRd":124,"actualHome":{"name":"PSV","created":"1916-11-19","lastDate":"2026-04-11","firstMatchDate":"1916-11-19","lastMatchDate":"2026-04-11","games":2173,"place":"Eindhoven","topRating":2240.510013379227,"rating":1379.068071025291,"rd":115.0719099689036,"rv":0.055391252417952105,"averageScore":18.364906414640082,"currentDiff":45.412574449806925,"origins":1,"startOffset":-211.5,"opponents":{}},"actualAway":{"name":"DKB","created":"2005-09-04","lastDate":"2026-04-11","firstMatchDate":"2005-09-04","lastMatchDate":"2026-04-11","games":534,"place":"Best","topRating":1751.4716783669714,"rating":1258.824920588022,"rd":118.43207945852417,"rv":0.058149732634624536,"averageScore":15.717446084921336,"currentDiff":69.22755645177563,"origins":1,"startOffset":0.0,"opponents":{}},"special":false},{"home":"OEC","away":"Kesteren","homeScore":13,"awayScore":12,"date":"2026-04-11","pHome":0.34311030538745524,"pDraw":0.06704295841223129,"pAway":0.5898467362003135,"guessHome":12,"guessAway":14,"homeDiff":13.438834565624802,"awayDiff":-15.045195168060673,"homeRating":1146.9327604732007,"awayRating":1265.6573243411574,"homeRd":123,"awayRd":130,"actualHome":{"name":"OEC","created":"1934-01-21","lastDate":"2026-04-11","firstMatchDate":"1934-01-21","lastMatchDate":"2026-04-11","games":1519,"place":"Helmond","topRating":2012.0681333105244,"rating":1160.7236697945461,"rd":116.80125956125237,"rv":0.05671107634078576,"averageScore":15.641353218587483,"currentDiff":79.47821872710324,"origins":1,"startOffset":43.5,"opponents":{}},"actualAway":{"name":"Kesteren","created":"1986-11-23","lastDate":"2026-04-11","firstMatchDate":"1986-11-23","lastMatchDate":"2026-04-11","games":711,"place":"Kesteren","topRating":1688.292256389459,"rating":1250.6924571736804,"rd":122.81787474950143,"rv":0.05837783242611564,"averageScore":14.273023004209186,"currentDiff":-170.5586560861193,"origins":1,"startOffset":-68.75,"opponents":{}},"special":false}],"fixtures":[{"home":"PSV","away":"OEC","homeScore":22,"awayScore":16,"date":"2026-05-09","pHome":0.7846806976503226,"pDraw":0.04396958934892775,"pAway":0.1713497130007497,"guessHome":18,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1379.068071025291,"awayRating":1160.7236697945461,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"DKB","homeScore":6,"awayScore":7,"date":"2026-05-09","pHome":0.49768894793954577,"pDraw":0.06913909083091208,"pAway":0.43317196122954216,"guessHome":14,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1250.6924571736804,"awayRating":1258.824920588022,"homeRd":0,"awayRd":0,"special":false},{"home":"DKB","away":"Kesteren","homeScore":10,"awayScore":12,"date":"2026-05-16","pHome":0.521046352627239,"pDraw":0.06869399987037894,"pAway":0.4102596475023821,"guessHome":14,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1258.824920588022,"awayRating":1250.6924571736804,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"PSV","homeScore":18,"awayScore":11,"date":"2026-05-16","pHome":0.22841078897628353,"pDraw":0.05141973838485181,"pAway":0.7201694726388647,"guessHome":13,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1160.7236697945461,"awayRating":1379.068071025291,"homeRd":0,"awayRd":0,"special":false},{"home":"PSV","away":"Kesteren","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.685495707362819,"pDraw":0.05595839542033476,"pAway":0.25854589721684634,"guessHome":16,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1379.068071025291,"awayRating":1250.6924571736804,"homeRd":0,"awayRd":0,"special":false},{"home":"OEC","away":"DKB","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.37170798308646047,"pDraw":0.06555981837450053,"pAway":0.562732198539039,"guessHome":13,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1160.7236697945461,"awayRating":1258.824920588022,"homeRd":0,"awayRd":0,"special":false},{"home":"DKB","away":"PSV","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.344264145839592,"pDraw":0.059972138382057394,"pAway":0.5957637157783506,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1258.824920588022,"awayRating":1379.068071025291,"homeRd":0,"awayRd":0,"special":false},{"home":"Kesteren","away":"OEC","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.6351553974607813,"pDraw":0.06243120636122529,"pAway":0.3024133961779934,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1250.6924571736804,"awayRating":1160.7236697945461,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"PSV"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":35,"against":28},"won":2,"draw":0,"lost":0}},{"team":{"name":"DKB"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":32,"against":29},"won":1,"draw":0,"lost":1}},{"team":{"name":"OEC"},"stats":{"penalties":{"points":0},"position":3,"points":2,"goals":{"for":27,"against":32},"won":1,"draw":0,"lost":1}},{"team":{"name":"Kesteren"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":28,"against":33},"won":0,"draw":0,"lost":2}}]}	0.15132	0.17012	0.17143	1258.824920588022	118.43207945852417	0.04222	0.04594	0.38501	1250.6924571736804	122.81787474950143	0.0717	0.07273	0.3721	1160.7236697945461	116.80125956125237	0.73476	0.7523	0.01413	1379.068071025291	115.0719099689036
