date	pouleData	OZC	OZC	OZC	OZC	OZC	Oranje Zwart (M)	Oranje Zwart (M)	Oranje Zwart (M)	Oranje Zwart (M)	Oranje Zwart (M)	Springfield	Springfield	Springfield	Springfield	Springfield	Ventura Sport	Ventura Sport	Ventura Sport	Ventura Sport	Ventura Sport
2026-03-29	{"results":[],"fixtures":[{"home":"OZC","away":"Springfield","homeScore":15,"awayScore":10,"date":"2026-04-08","pHome":0.8970171097298016,"pDraw":0.026406705958766152,"pAway":0.0765761843114322,"guessHome":19,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1510.0200979592835,"awayRating":1136.697983007965,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"Ventura Sport","homeScore":10,"awayScore":17,"date":"2026-04-11","pHome":0.34399730307772236,"pDraw":0.06530676855721018,"pAway":0.5906959283650675,"guessHome":13,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1136.697983007965,"awayRating":1255.1591900215187,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"OZC","homeScore":5,"awayScore":17,"date":"2026-04-11","pHome":0.13827814123082172,"pDraw":0.03873413274621795,"pAway":0.8229877260229603,"guessHome":12,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1187.24821845042,"awayRating":1510.0200979592835,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"Oranje Zwart (M)","homeScore":17,"awayScore":16,"date":"2026-04-14","pHome":0.6059286050852596,"pDraw":0.06341305175572659,"pAway":0.3306583431590138,"guessHome":15,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1255.1591900215187,"awayRating":1187.24821845042,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Springfield","homeScore":9,"awayScore":8,"date":"2026-05-09","pHome":0.5802999252876541,"pDraw":0.067974761156884,"pAway":0.35172531355546194,"guessHome":14,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1187.24821845042,"awayRating":1136.697983007965,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"OZC","homeScore":10,"awayScore":19,"date":"2026-05-09","pHome":0.1934512933426944,"pDraw":0.045929735919719716,"pAway":0.7606189707375859,"guessHome":13,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1255.1591900215187,"awayRating":1510.0200979592835,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-16","pHome":0.817994353926091,"pDraw":0.03850008611742367,"pAway":0.14350555995648534,"guessHome":19,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1510.0200979592835,"awayRating":1255.1591900215187,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-05-27","pHome":0.4360880360828707,"pDraw":0.07073784572410691,"pAway":0.49317411819302237,"guessHome":13,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1136.697983007965,"awayRating":1187.24821845042,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"OZC","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.10629584036810558,"pDraw":0.03316999946435484,"pAway":0.8605341601675396,"guessHome":11,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1136.697983007965,"awayRating":1510.0200979592835,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.4132818815591963,"pDraw":0.06688377055598271,"pAway":0.519834347884821,"guessHome":14,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1187.24821845042,"awayRating":1255.1591900215187,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.8678676791451118,"pDraw":0.03144495818727561,"pAway":0.10068736266761263,"guessHome":19,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1510.0200979592835,"awayRating":1187.24821845042,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"Springfield","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.6717806861248219,"pDraw":0.059627677999578355,"pAway":0.2685916358755998,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1255.1591900215187,"awayRating":1136.697983007965,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"OZC"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Ventura Sport"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Springfield"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.66558	0.71154	0.02697	1510.0200979592835	117.0474552762196	0.10227	0.12503	0.32204	1187.24821845042	126.12878852778235	0.06992	0.08424	0.42322	1136.697983007965	122.21855288203993	0.16223	0.19835	0.20934	1255.1591900215187	118.744252110918
2026-04-08	{"results":[{"home":"OZC","away":"Springfield","homeScore":15,"awayScore":10,"date":"2026-04-08","pHome":0.9054814715528499,"pDraw":0.025335133830888368,"pAway":0.06918339461626177,"guessHome":18,"guessAway":10,"homeDiff":-12.692857372322123,"awayDiff":14.65729018794491,"homeRating":1505.1505984226526,"awayRating":1114.7820961545358,"homeRd":174,"awayRd":184,"actualHome":{"name":"OZC","created":"1997-09-06","lastDate":"2026-04-08","firstMatchDate":"1997-09-06","lastMatchDate":"2026-04-08","games":732,"place":"Rotterdam","topRating":2031.212547873816,"rating":1492.2789721994857,"rd":168.08763337803134,"rv":0.05536819063439831,"averageScore":17.72920301637913,"currentDiff":-8.829545911622517,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Springfield","created":"1991-03-24","lastDate":"2026-04-08","firstMatchDate":"1991-03-24","lastMatchDate":"2026-04-08","games":495,"place":"De Hoeven","topRating":1441.5505270287013,"rating":1128.7473101501002,"rd":176.7972123682301,"rv":0.05897053038941279,"averageScore":13.38062755321267,"currentDiff":-11.63329980547769,"origins":1,"startOffset":-18.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Springfield","away":"Ventura Sport","homeScore":10,"awayScore":17,"date":"2026-04-11","pHome":0.35289328409225706,"pDraw":0.06893508520280711,"pAway":0.5781716307049358,"guessHome":12,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1128.7473101501002,"awayRating":1240.007935830792,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"OZC","homeScore":5,"awayScore":17,"date":"2026-04-11","pHome":0.1361752396876319,"pDraw":0.04002664044828763,"pAway":0.8237981198640805,"guessHome":11,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1166.819568273939,"awayRating":1492.2789721994857,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"Oranje Zwart (M)","homeScore":17,"awayScore":16,"date":"2026-04-14","pHome":0.612417933445105,"pDraw":0.0660522124512068,"pAway":0.32152985410368823,"guessHome":14,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1240.007935830792,"awayRating":1166.819568273939,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Springfield","homeScore":9,"awayScore":8,"date":"2026-05-09","pHome":0.5626416203877247,"pDraw":0.07095708097901204,"pAway":0.36640129863326326,"guessHome":13,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1166.819568273939,"awayRating":1128.7473101501002,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"OZC","homeScore":10,"awayScore":19,"date":"2026-05-09","pHome":0.19537153945476815,"pDraw":0.04863298865176047,"pAway":0.7559954718934714,"guessHome":12,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1240.007935830792,"awayRating":1492.2789721994857,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-16","pHome":0.8153397988385918,"pDraw":0.040664610105753285,"pAway":0.14399559105565501,"guessHome":18,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1492.2789721994857,"awayRating":1240.007935830792,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-05-27","pHome":0.45370741955287086,"pDraw":0.07317280777133944,"pAway":0.4731197726757897,"guessHome":12,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1128.7473101501002,"awayRating":1166.819568273939,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"OZC","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.1117307180465954,"pDraw":0.03565175927432107,"pAway":0.8526175226790835,"guessHome":11,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1128.7473101501002,"awayRating":1492.2789721994857,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.40525952329845927,"pDraw":0.06996123411310129,"pAway":0.5247792425884394,"guessHome":12,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1166.819568273939,"awayRating":1240.007935830792,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.8696042268460455,"pDraw":0.03183976147562634,"pAway":0.09855601167832811,"guessHome":18,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1492.2789721994857,"awayRating":1166.819568273939,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"Springfield","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.6625862440438651,"pDraw":0.06216890002647224,"pAway":0.27524485592966264,"guessHome":14,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1240.007935830792,"awayRating":1128.7473101501002,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"OZC"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":15,"against":10},"won":1,"draw":0,"lost":0}},{"team":{"name":"Ventura Sport"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Springfield"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":10,"against":15},"won":0,"draw":0,"lost":1}}]}	0.70143	0.74	0.01424	1492.2789721994857	168.08763337803134	0.1596	0.19394	0.21134	1240.007935830792	119.14380468719936	0.09907	0.11886	0.32997	1166.819568273939	126.37896619598695	0.0399	0.05237	0.42617	1128.7473101501002	176.7972123682301
2026-04-11	{"results":[{"home":"OZC","away":"Springfield","homeScore":15,"awayScore":10,"date":"2026-04-08","pHome":0.9054814715528499,"pDraw":0.025335133830888368,"pAway":0.06918339461626177,"guessHome":18,"guessAway":10,"homeDiff":-12.692857372322123,"awayDiff":14.65729018794491,"homeRating":1505.1505984226526,"awayRating":1114.7820961545358,"homeRd":174,"awayRd":184,"actualHome":{"name":"OZC","created":"1997-09-06","lastDate":"2026-04-11","firstMatchDate":"1997-09-06","lastMatchDate":"2026-04-11","games":733,"place":"Rotterdam","topRating":2031.212547873816,"rating":1514.331239999893,"rd":160.5250299786649,"rv":0.05536688594461596,"averageScore":17.734543180775233,"currentDiff":12.578535704705246,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Springfield","created":"1991-03-24","lastDate":"2026-04-11","firstMatchDate":"1991-03-24","lastMatchDate":"2026-04-11","games":496,"place":"De Hoeven","topRating":1441.5505270287013,"rating":1088.5997226733064,"rd":162.92405193063146,"rv":0.058968610825684865,"averageScore":13.315585878266486,"currentDiff":-51.52408522406358,"origins":1,"startOffset":-18.0,"opponents":{}},"special":false},{"home":"Springfield","away":"Ventura Sport","homeScore":10,"awayScore":17,"date":"2026-04-11","pHome":0.35205230617382866,"pDraw":0.06986380124980196,"pAway":0.5780838925763694,"guessHome":11,"guessAway":13,"homeDiff":-39.89078541858589,"awayDiff":40.860745292234924,"homeRating":1128.7527922394786,"awayRating":1240.0134179201702,"homeRd":178,"awayRd":180,"actualHome":{"name":"Springfield","created":"1991-03-24","lastDate":"2026-04-11","firstMatchDate":"1991-03-24","lastMatchDate":"2026-04-11","games":496,"place":"De Hoeven","topRating":1441.5505270287013,"rating":1088.5997226733064,"rd":162.92405193063146,"rv":0.058968610825684865,"averageScore":13.315585878266486,"currentDiff":-51.52408522406358,"origins":1,"startOffset":-18.0,"opponents":{}},"actualAway":{"name":"Ventura Sport","created":"1970-10-25","lastDate":"2026-04-11","firstMatchDate":"1970-10-25","lastMatchDate":"2026-04-11","games":1231,"place":"Strijen","topRating":1844.4928432479594,"rating":1281.765138343475,"rd":164.70748611347608,"rv":0.05701433264994927,"averageScore":15.170647302302891,"currentDiff":57.79968425508514,"origins":1,"startOffset":176.25,"opponents":{}},"special":false},{"home":"Oranje Zwart (M)","away":"OZC","homeScore":5,"awayScore":17,"date":"2026-04-11","pHome":0.1358635082739923,"pDraw":0.04039923293262149,"pAway":0.8237372587933862,"guessHome":11,"guessAway":17,"homeDiff":-25.259284197323495,"awayDiff":21.408081616327763,"homeRating":1166.8250503633174,"awayRating":1492.284454288864,"homeRd":186,"awayRd":169,"actualHome":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2026-04-11","firstMatchDate":"1971-12-12","lastMatchDate":"2026-04-11","games":677,"place":"Mijnsheerenland","topRating":1650.9643809185598,"rating":1140.362181257186,"rd":175.10487312274844,"rv":0.05850479667086114,"averageScore":13.61429689587716,"currentDiff":12.44672700817091,"origins":1,"startOffset":-254.5,"opponents":{}},"actualAway":{"name":"OZC","created":"1997-09-06","lastDate":"2026-04-11","firstMatchDate":"1997-09-06","lastMatchDate":"2026-04-11","games":733,"place":"Rotterdam","topRating":2031.212547873816,"rating":1514.331239999893,"rd":160.5250299786649,"rv":0.05536688594461596,"averageScore":17.734543180775233,"currentDiff":12.578535704705246,"origins":1,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Ventura Sport","away":"Oranje Zwart (M)","homeScore":17,"awayScore":16,"date":"2026-04-14","pHome":0.6986951703788649,"pDraw":0.05999558863221616,"pAway":0.24130924098891898,"guessHome":14,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1281.765138343475,"awayRating":1140.362181257186,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Springfield","homeScore":9,"awayScore":8,"date":"2026-05-09","pHome":0.5809480771805183,"pDraw":0.07082585292386834,"pAway":0.34822606989561333,"guessHome":13,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1140.362181257186,"awayRating":1088.5997226733064,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"OZC","homeScore":10,"awayScore":19,"date":"2026-05-09","pHome":0.2138903766669158,"pDraw":0.05084370719410258,"pAway":0.7352659161389816,"guessHome":13,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1281.765138343475,"awayRating":1514.331239999893,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-16","pHome":0.7977569807300569,"pDraw":0.04305801269226395,"pAway":0.1591850065776792,"guessHome":18,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1514.331239999893,"awayRating":1281.765138343475,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-05-27","pHome":0.43332543722644024,"pDraw":0.07380750547330256,"pAway":0.4928670573002572,"guessHome":12,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1088.5997226733064,"awayRating":1140.362181257186,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"OZC","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.08003361827572208,"pDraw":0.028376327739684126,"pAway":0.8915900539845938,"guessHome":10,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1088.5997226733064,"awayRating":1514.331239999893,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.31390210860316226,"pDraw":0.06577053648547837,"pAway":0.6203273549113594,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1140.362181257186,"awayRating":1281.765138343475,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.8972755104714069,"pDraw":0.026765881155711824,"pAway":0.07595860837288132,"guessHome":18,"guessAway":10,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1514.331239999893,"awayRating":1140.362181257186,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"Springfield","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.7573779366988609,"pDraw":0.05179852390811912,"pAway":0.19082353939301994,"guessHome":15,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1281.765138343475,"awayRating":1088.5997226733064,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"OZC"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":32,"against":15},"won":2,"draw":0,"lost":0}},{"team":{"name":"Ventura Sport"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":17,"against":10},"won":1,"draw":0,"lost":0}},{"team":{"name":"Springfield"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":20,"against":32},"won":0,"draw":0,"lost":2}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":5,"against":17},"won":0,"draw":0,"lost":1}}]}	0.77857	0.80888	0.00129	1514.331239999893	160.5250299786649	0.19515	0.2368	0.05628	1281.765138343475	164.70748611347608	0.02236	0.03071	0.36798	1140.362181257186	175.10487312274844	0.00392	0.0048	0.56404	1088.5997226733064	162.92405193063146
2026-04-14	{"results":[{"home":"OZC","away":"Springfield","homeScore":15,"awayScore":10,"date":"2026-04-08","pHome":0.9054814715528499,"pDraw":0.025335133830888368,"pAway":0.06918339461626177,"guessHome":18,"guessAway":10,"homeDiff":-12.692857372322123,"awayDiff":14.65729018794491,"homeRating":1505.1505984226526,"awayRating":1114.7820961545358,"homeRd":174,"awayRd":184,"actualHome":{"name":"OZC","created":"1997-09-06","lastDate":"2026-04-11","firstMatchDate":"1997-09-06","lastMatchDate":"2026-04-11","games":733,"place":"Rotterdam","topRating":2031.212547873816,"rating":1514.265070697913,"rd":160.5250299786649,"rv":0.05536688594461596,"averageScore":17.734543180775233,"currentDiff":12.578535704705246,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Springfield","created":"1991-03-24","lastDate":"2026-04-11","firstMatchDate":"1991-03-24","lastMatchDate":"2026-04-11","games":496,"place":"De Hoeven","topRating":1441.5505270287013,"rating":1088.5335533713264,"rd":162.92405193063146,"rv":0.058968610825684865,"averageScore":13.315585878266486,"currentDiff":-51.52408522406358,"origins":1,"startOffset":-18.0,"opponents":{}},"special":false},{"home":"Springfield","away":"Ventura Sport","homeScore":10,"awayScore":17,"date":"2026-04-11","pHome":0.35205230617382866,"pDraw":0.06986380124980196,"pAway":0.5780838925763694,"guessHome":11,"guessAway":13,"homeDiff":-39.89078541858589,"awayDiff":40.860745292234924,"homeRating":1128.7527922394786,"awayRating":1240.0134179201702,"homeRd":178,"awayRd":180,"actualHome":{"name":"Springfield","created":"1991-03-24","lastDate":"2026-04-11","firstMatchDate":"1991-03-24","lastMatchDate":"2026-04-11","games":496,"place":"De Hoeven","topRating":1441.5505270287013,"rating":1088.5335533713264,"rd":162.92405193063146,"rv":0.058968610825684865,"averageScore":13.315585878266486,"currentDiff":-51.52408522406358,"origins":1,"startOffset":-18.0,"opponents":{}},"actualAway":{"name":"Ventura Sport","created":"1970-10-25","lastDate":"2026-04-14","firstMatchDate":"1970-10-25","lastMatchDate":"2026-04-14","games":1232,"place":"Strijen","topRating":1844.4928432479594,"rating":1266.2259619651156,"rd":154.80159654831505,"rv":0.057012187160288455,"averageScore":15.335314446329843,"currentDiff":41.91125158039972,"origins":1,"startOffset":176.25,"opponents":{}},"special":false},{"home":"Oranje Zwart (M)","away":"OZC","homeScore":5,"awayScore":17,"date":"2026-04-11","pHome":0.1358635082739923,"pDraw":0.04039923293262149,"pAway":0.8237372587933862,"guessHome":11,"guessAway":17,"homeDiff":-25.259284197323495,"awayDiff":21.408081616327763,"homeRating":1166.8250503633174,"awayRating":1492.284454288864,"homeRd":186,"awayRd":169,"actualHome":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2026-04-14","firstMatchDate":"1971-12-12","lastMatchDate":"2026-04-14","games":678,"place":"Mijnsheerenland","topRating":1650.9643809185598,"rating":1158.8530141323042,"rd":162.92493963591994,"rv":0.05850247522040146,"averageScore":13.906536077937146,"currentDiff":30.629888265939826,"origins":1,"startOffset":-254.5,"opponents":{}},"actualAway":{"name":"OZC","created":"1997-09-06","lastDate":"2026-04-11","firstMatchDate":"1997-09-06","lastMatchDate":"2026-04-11","games":733,"place":"Rotterdam","topRating":2031.212547873816,"rating":1514.265070697913,"rd":160.5250299786649,"rv":0.05536688594461596,"averageScore":17.734543180775233,"currentDiff":12.578535704705246,"origins":1,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Ventura Sport","away":"Oranje Zwart (M)","homeScore":17,"awayScore":16,"date":"2026-04-14","pHome":0.6986410391768328,"pDraw":0.059999909039002264,"pAway":0.2413590517841649,"guessHome":14,"guessAway":11,"homeDiff":-15.888432674685419,"awayDiff":18.183161257768916,"homeRating":1281.7125829918366,"awayRating":1140.3096259055476,"homeRd":166,"awayRd":176,"actualHome":{"name":"Ventura Sport","created":"1970-10-25","lastDate":"2026-04-14","firstMatchDate":"1970-10-25","lastMatchDate":"2026-04-14","games":1232,"place":"Strijen","topRating":1844.4928432479594,"rating":1266.2259619651156,"rd":154.80159654831505,"rv":0.057012187160288455,"averageScore":15.335314446329843,"currentDiff":41.91125158039972,"origins":1,"startOffset":176.25,"opponents":{}},"actualAway":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2026-04-14","firstMatchDate":"1971-12-12","lastMatchDate":"2026-04-14","games":678,"place":"Mijnsheerenland","topRating":1650.9643809185598,"rating":1158.8530141323042,"rd":162.92493963591994,"rv":0.05850247522040146,"averageScore":13.906536077937146,"currentDiff":30.629888265939826,"origins":1,"startOffset":-254.5,"opponents":{}},"special":false}],"fixtures":[{"home":"Oranje Zwart (M)","away":"Springfield","homeScore":9,"awayScore":8,"date":"2026-05-09","pHome":0.6066791079329397,"pDraw":0.06886175287131852,"pAway":0.32445913919574176,"guessHome":13,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1158.8530141323042,"awayRating":1088.5335533713264,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"OZC","homeScore":10,"awayScore":19,"date":"2026-05-09","pHome":0.19908336380191138,"pDraw":0.04877991481541377,"pAway":0.7521367213826748,"guessHome":13,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1266.2259619651156,"awayRating":1514.265070697913,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-16","pHome":0.8115230671516631,"pDraw":0.040971794457661914,"pAway":0.14750513839067497,"guessHome":18,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1514.265070697913,"awayRating":1266.2259619651156,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-05-27","pHome":0.40735709384923635,"pDraw":0.07280078003460799,"pAway":0.5198421261161557,"guessHome":12,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1088.5335533713264,"awayRating":1158.8530141323042,"homeRd":0,"awayRd":0,"special":false},{"home":"Springfield","away":"OZC","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.08000972544863005,"pDraw":0.028367919546236964,"pAway":0.891622355005133,"guessHome":10,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1088.5335533713264,"awayRating":1514.265070697913,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Ventura Sport","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.3581919606547538,"pDraw":0.06783138979538261,"pAway":0.5739766495498636,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1158.8530141323042,"awayRating":1266.2259619651156,"homeRd":0,"awayRd":0,"special":false},{"home":"OZC","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.8873004377974063,"pDraw":0.02860229217607302,"pAway":0.08409727002652073,"guessHome":18,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1514.265070697913,"awayRating":1158.8530141323042,"homeRd":0,"awayRd":0,"special":false},{"home":"Ventura Sport","away":"Springfield","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.7409524754971246,"pDraw":0.053685210728586674,"pAway":0.20536231377428865,"guessHome":15,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1266.2259619651156,"awayRating":1088.5335533713264,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"OZC"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":32,"against":15},"won":2,"draw":0,"lost":0}},{"team":{"name":"Ventura Sport"},"stats":{"penalties":{"points":0},"position":2,"points":4,"goals":{"for":34,"against":26},"won":2,"draw":0,"lost":0}},{"team":{"name":"Springfield"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":20,"against":32},"won":0,"draw":0,"lost":2}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":21,"against":34},"won":0,"draw":0,"lost":2}}]}	0.79297	0.82165	0.00109	1514.265070697913	160.5250299786649	0.19811	0.23667	0.019	1266.2259619651156	154.80159654831505	0.0052	0.00714	0.39205	1158.8530141323042	162.92493963591994	0.00372	0.00454	0.57737	1088.5335533713264	162.92405193063146
