date	pouleData	't Capproen	't Capproen	't Capproen	't Capproen	't Capproen	Conventus	Conventus	Conventus	Conventus	Conventus	Nikantes	Nikantes	Nikantes	Nikantes	Nikantes	Olympia (S)	Olympia (S)	Olympia (S)	Olympia (S)	Olympia (S)
2026-03-29	{"results":[],"fixtures":[{"home":"\u0027t Capproen","away":"Olympia (S)","homeScore":19,"awayScore":9,"date":"2026-04-04","pHome":0.6679393493751852,"pDraw":0.05820701448334087,"pAway":0.27385363614147396,"guessHome":16,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1175.970600616949,"awayRating":1061.318054553557,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Conventus","homeScore":9,"awayScore":15,"date":"2026-04-04","pHome":0.1360890276801563,"pDraw":0.0461645178158554,"pAway":0.8177464545039883,"guessHome":8,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":790.3982123619015,"awayRating":1111.5892565833883,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"\u0027t Capproen","homeScore":6,"awayScore":18,"date":"2026-04-11","pHome":0.41508049175672546,"pDraw":0.07337356365267356,"pAway":0.511545944590601,"guessHome":11,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1111.5892565833883,"awayRating":1175.970600616949,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"Nikantes","homeScore":20,"awayScore":14,"date":"2026-04-11","pHome":0.8293335641570905,"pDraw":0.03986727313742172,"pAway":0.13079916270548786,"guessHome":17,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1061.318054553557,"awayRating":790.3982123619015,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Nikantes","homeScore":22,"awayScore":9,"date":"2026-05-09","pHome":0.9008582305259851,"pDraw":0.02935972073301979,"pAway":0.06978204874099514,"guessHome":15,"guessAway":8,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1175.970600616949,"awayRating":790.3982123619015,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"Conventus","homeScore":10,"awayScore":16,"date":"2026-05-09","pHome":0.4386203409855307,"pDraw":0.06644431511687432,"pAway":0.49493534389759497,"guessHome":14,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1061.318054553557,"awayRating":1111.5892565833883,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"Olympia (S)","homeScore":-1,"awayScore":-1,"date":"2026-05-12","pHome":0.5820289934435354,"pDraw":0.0638620284845331,"pAway":0.3541089780719315,"guessHome":15,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1111.5892565833883,"awayRating":1061.318054553557,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2026-05-21","pHome":0.09727759271111525,"pDraw":0.03702899446093355,"pAway":0.8656934128279512,"guessHome":8,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":790.3982123619015,"awayRating":1175.970600616949,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.8635923941832462,"pDraw":0.03750897361470479,"pAway":0.09889863220204903,"guessHome":14,"guessAway":8,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1111.5892565833883,"awayRating":790.3982123619015,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.3499784041140789,"pDraw":0.06357655743207269,"pAway":0.5864450384538484,"guessHome":13,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1061.318054553557,"awayRating":1175.970600616949,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Olympia (S)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.17736525137643677,"pDraw":0.047949419303013774,"pAway":0.7746853293205495,"guessHome":11,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":790.3982123619015,"awayRating":1061.318054553557,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Conventus","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.5979747276585194,"pDraw":0.06975688990291246,"pAway":0.33226838243856804,"guessHome":13,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1175.970600616949,"awayRating":1111.5892565833883,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Conventus"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Olympia (S)"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.42969	0.72803	0.0	1175.970600616949	127.6036455436763	0.30349	0.61556	0.0	1111.5892565833883	122.19788918533935	0.03515	0.12077	0.0	790.3982123619015	140.8251495902095	0.23167	0.51349	0.0	1061.318054553557	139.4282611551654
2026-04-04	{"results":[{"home":"\u0027t Capproen","away":"Olympia (S)","homeScore":19,"awayScore":9,"date":"2026-04-04","pHome":0.6535753809371291,"pDraw":0.06051332772643003,"pAway":0.2859112913364409,"guessHome":15,"guessAway":12,"homeDiff":42.477170728402825,"awayDiff":-44.81362150219536,"homeRating":1153.485745194542,"awayRating":1050.0013476903798,"homeRd":186,"awayRd":192,"actualHome":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2026-04-04","firstMatchDate":"1973-10-07","lastMatchDate":"2026-04-04","games":551,"place":"Hellevoetsluis","topRating":1594.981718358764,"rating":1197.2707453224198,"rd":170.78594549402294,"rv":0.05886472625353403,"averageScore":12.693258559111971,"currentDiff":7.138036244538398,"origins":1,"startOffset":125.25,"opponents":{}},"actualAway":{"name":"Olympia (S)","created":"1966-09-11","lastDate":"2026-04-04","firstMatchDate":"1966-09-11","lastMatchDate":"2026-04-04","games":1173,"place":"Spijkenisse","topRating":1781.4665558302681,"rating":1004.8034071647977,"rd":175.0632779204677,"rv":0.0572369203050505,"averageScore":18.010818370223276,"currentDiff":-109.10210755404057,"origins":1,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Nikantes","away":"Conventus","homeScore":9,"awayScore":15,"date":"2026-04-04","pHome":0.1311614939055198,"pDraw":0.046565917557485625,"pAway":0.8222725885369946,"guessHome":8,"guessAway":13,"homeDiff":-10.989054520094669,"awayDiff":10.225919725254244,"homeRating":760.3830966382683,"awayRating":1088.5690960434906,"homeRd":194,"awayRd":182,"actualHome":{"name":"Nikantes","created":"1996-08-31","lastDate":"2026-04-04","firstMatchDate":"1996-08-31","lastMatchDate":"2026-04-04","games":553,"place":"Hoogvliet","topRating":1544.4589459674082,"rating":749.2993413458389,"rd":181.76759105851045,"rv":0.057957656176694405,"averageScore":11.961467025472105,"currentDiff":-70.28128875940308,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Conventus","created":"2005-09-04","lastDate":"2026-04-04","firstMatchDate":"2005-09-04","lastMatchDate":"2026-04-04","games":530,"place":"Zwijndrecht","topRating":1719.8786820472983,"rating":1099.4495086892246,"rd":172.0903420085576,"rv":0.05800629648322254,"averageScore":12.645820219115501,"currentDiff":-44.75496973691361,"origins":1,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Conventus","away":"\u0027t Capproen","homeScore":6,"awayScore":18,"date":"2026-04-11","pHome":0.36853198020752465,"pDraw":0.07464810784019293,"pAway":0.5568199119522824,"guessHome":10,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1099.4495086892246,"awayRating":1197.2707453224198,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"Nikantes","homeScore":20,"awayScore":14,"date":"2026-04-11","pHome":0.8169648934502127,"pDraw":0.04230916297450976,"pAway":0.14072594357527746,"guessHome":16,"guessAway":10,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1004.8034071647977,"awayRating":749.2993413458389,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Nikantes","homeScore":22,"awayScore":9,"date":"2026-05-09","pHome":0.9279257943999386,"pDraw":0.023216063926183694,"pAway":0.0488581416738777,"guessHome":15,"guessAway":7,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1197.2707453224198,"awayRating":749.2993413458389,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"Conventus","homeScore":10,"awayScore":16,"date":"2026-05-09","pHome":0.376991570607239,"pDraw":0.06634078901839502,"pAway":0.556667640374366,"guessHome":13,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1004.8034071647977,"awayRating":1099.4495086892246,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"Olympia (S)","homeScore":-1,"awayScore":-1,"date":"2026-05-12","pHome":0.6423525183725156,"pDraw":0.061536867324050226,"pAway":0.2961106143034341,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1099.4495086892246,"awayRating":1004.8034071647977,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2026-05-21","pHome":0.0692941857869861,"pDraw":0.030004736645742214,"pAway":0.9007010775672717,"guessHome":7,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":749.2993413458389,"awayRating":1197.2707453224198,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.8815891960868101,"pDraw":0.034416671014653066,"pAway":0.08399413289853691,"guessHome":14,"guessAway":7,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1099.4495086892246,"awayRating":749.2993413458389,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.25521215023694066,"pDraw":0.05775566789514963,"pAway":0.6870321818679097,"guessHome":12,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1004.8034071647977,"awayRating":1197.2707453224198,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Olympia (S)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.1916305718678979,"pDraw":0.049912822994980455,"pAway":0.7584566051371217,"guessHome":11,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":749.2993413458389,"awayRating":1004.8034071647977,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Conventus","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.6430259444978714,"pDraw":0.06789969222825937,"pAway":0.2890743632738692,"guessHome":13,"guessAway":10,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1197.2707453224198,"awayRating":1099.4495086892246,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":19,"against":9},"won":1,"draw":0,"lost":0}},{"team":{"name":"Conventus"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":15,"against":9},"won":1,"draw":0,"lost":0}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":9,"against":15},"won":0,"draw":0,"lost":1}},{"team":{"name":"Olympia (S)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":9,"against":19},"won":0,"draw":0,"lost":1}}]}	0.58966	0.88296	0.0	1197.2707453224198	170.78594549402294	0.31743	0.69134	0.0	1099.4495086892246	172.0903420085576	0.01039	0.05609	0.0	749.2993413458389	181.76759105851045	0.08252	0.35486	0.0	1004.8034071647977	175.0632779204677
2026-04-11	{"results":[{"home":"\u0027t Capproen","away":"Olympia (S)","homeScore":19,"awayScore":9,"date":"2026-04-04","pHome":0.6535753809371291,"pDraw":0.06051332772643003,"pAway":0.2859112913364409,"guessHome":15,"guessAway":12,"homeDiff":42.477170728402825,"awayDiff":-44.81362150219536,"homeRating":1153.485745194542,"awayRating":1050.0013476903798,"homeRd":186,"awayRd":192,"actualHome":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2026-04-11","firstMatchDate":"1973-10-07","lastMatchDate":"2026-04-11","games":552,"place":"Hellevoetsluis","topRating":1594.981718358764,"rating":1250.1189591702364,"rd":158.87835255604364,"rv":0.05886349801456911,"averageScore":12.99688791494714,"currentDiff":58.86509556888723,"origins":1,"startOffset":125.25,"opponents":{}},"actualAway":{"name":"Olympia (S)","created":"1966-09-11","lastDate":"2026-04-11","firstMatchDate":"1966-09-11","lastMatchDate":"2026-04-11","games":1174,"place":"Spijkenisse","topRating":1781.4665558302681,"rating":1013.0095225569536,"rd":167.193974182399,"rv":0.05723518765088217,"averageScore":18.319375024630936,"currentDiff":-102.57090542474953,"origins":1,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Nikantes","away":"Conventus","homeScore":9,"awayScore":15,"date":"2026-04-04","pHome":0.1311614939055198,"pDraw":0.046565917557485625,"pAway":0.8222725885369946,"guessHome":8,"guessAway":13,"homeDiff":-10.989054520094669,"awayDiff":10.225919725254244,"homeRating":760.3830966382683,"awayRating":1088.5690960434906,"homeRd":194,"awayRd":182,"actualHome":{"name":"Nikantes","created":"1996-08-31","lastDate":"2026-04-11","firstMatchDate":"1996-08-31","lastMatchDate":"2026-04-11","games":554,"place":"Hoogvliet","topRating":1544.4589459674082,"rating":743.41953604642,"rd":172.68451784512584,"rv":0.057955853876256895,"averageScore":12.244227524169762,"currentDiff":-77.00763718378846,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Conventus","created":"2005-09-04","lastDate":"2026-04-11","firstMatchDate":"2005-09-04","lastMatchDate":"2026-04-11","games":531,"place":"Zwijndrecht","topRating":1719.8786820472983,"rating":1046.1103205227307,"rd":159.78865111906978,"rv":0.058005115432369955,"averageScore":12.444049188238345,"currentDiff":-97.14538525607395,"origins":1,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Conventus","away":"\u0027t Capproen","homeScore":6,"awayScore":18,"date":"2026-04-11","pHome":0.3684940798409614,"pDraw":0.07473522177608005,"pAway":0.5567706983829586,"guessHome":10,"guessAway":12,"homeDiff":-52.39041551916034,"awayDiff":51.72705932434883,"homeRating":1099.4563065062223,"awayRating":1197.2775431394175,"homeRd":174,"awayRd":173,"actualHome":{"name":"Conventus","created":"2005-09-04","lastDate":"2026-04-11","firstMatchDate":"2005-09-04","lastMatchDate":"2026-04-11","games":531,"place":"Zwijndrecht","topRating":1719.8786820472983,"rating":1046.1103205227307,"rd":159.78865111906978,"rv":0.058005115432369955,"averageScore":12.444049188238345,"currentDiff":-97.14538525607395,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2026-04-11","firstMatchDate":"1973-10-07","lastMatchDate":"2026-04-11","games":552,"place":"Hellevoetsluis","topRating":1594.981718358764,"rating":1250.1189591702364,"rd":158.87835255604364,"rv":0.05886349801456911,"averageScore":12.99688791494714,"currentDiff":58.86509556888723,"origins":1,"startOffset":125.25,"opponents":{}},"special":false},{"home":"Olympia (S)","away":"Nikantes","homeScore":20,"awayScore":14,"date":"2026-04-11","pHome":0.8165601690294838,"pDraw":0.04277587844490355,"pAway":0.14066395252561265,"guessHome":16,"guessAway":10,"homeDiff":6.531202129291046,"awayDiff":-6.726348424385378,"homeRating":1004.8102049817956,"awayRating":749.3061391628368,"homeRd":177,"awayRd":184,"actualHome":{"name":"Olympia (S)","created":"1966-09-11","lastDate":"2026-04-11","firstMatchDate":"1966-09-11","lastMatchDate":"2026-04-11","games":1174,"place":"Spijkenisse","topRating":1781.4665558302681,"rating":1013.0095225569536,"rd":167.193974182399,"rv":0.05723518765088217,"averageScore":18.319375024630936,"currentDiff":-102.57090542474953,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Nikantes","created":"1996-08-31","lastDate":"2026-04-11","firstMatchDate":"1996-08-31","lastMatchDate":"2026-04-11","games":554,"place":"Hoogvliet","topRating":1544.4589459674082,"rating":743.41953604642,"rd":172.68451784512584,"rv":0.057955853876256895,"averageScore":12.244227524169762,"currentDiff":-77.00763718378846,"origins":1,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"\u0027t Capproen","away":"Nikantes","homeScore":22,"awayScore":9,"date":"2026-05-09","pHome":0.9470644865069473,"pDraw":0.01778055530539173,"pAway":0.03515495818766097,"guessHome":15,"guessAway":6,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1250.1189591702364,"awayRating":743.41953604642,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"Conventus","homeScore":10,"awayScore":16,"date":"2026-05-09","pHome":0.4630090995373731,"pDraw":0.06784668913714303,"pAway":0.46914421132548384,"guessHome":14,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1013.0095225569536,"awayRating":1046.1103205227307,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"Olympia (S)","homeScore":-1,"awayScore":-1,"date":"2026-05-12","pHome":0.5578013703791589,"pDraw":0.06607371957568137,"pAway":0.37612491004515974,"guessHome":14,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1046.1103205227307,"awayRating":1013.0095225569536,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2026-05-21","pHome":0.049978112125348195,"pDraw":0.023246195940680225,"pAway":0.9267756919339716,"guessHome":7,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":743.41953604642,"awayRating":1250.1189591702364,"homeRd":0,"awayRd":0,"special":false},{"home":"Conventus","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.8506522367651519,"pDraw":0.040854605077615125,"pAway":0.10849315815723298,"guessHome":14,"guessAway":8,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1046.1103205227307,"awayRating":743.41953604642,"homeRd":0,"awayRd":0,"special":false},{"home":"Olympia (S)","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2026-05-30","pHome":0.20881667167965068,"pDraw":0.05165199251390473,"pAway":0.7395313358064446,"guessHome":12,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1013.0095225569536,"awayRating":1250.1189591702364,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Olympia (S)","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.17913570463996642,"pDraw":0.047454885631672106,"pAway":0.7734094097283615,"guessHome":11,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":743.41953604642,"awayRating":1013.0095225569536,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Conventus","homeScore":-1,"awayScore":-1,"date":"2026-06-06","pHome":0.766630322183344,"pDraw":0.05376012882817355,"pAway":0.17960954898848241,"guessHome":14,"guessAway":9,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1250.1189591702364,"awayRating":1046.1103205227307,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":37,"against":15},"won":2,"draw":0,"lost":0}},{"team":{"name":"Olympia (S)"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":29,"against":33},"won":1,"draw":0,"lost":1}},{"team":{"name":"Conventus"},"stats":{"penalties":{"points":0},"position":3,"points":2,"goals":{"for":21,"against":27},"won":1,"draw":0,"lost":1}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":23,"against":35},"won":0,"draw":0,"lost":2}}]}	0.87028	0.98034	0.0	1250.1189591702364	158.87835255604364	0.06514	0.5314	0.0	1046.1103205227307	159.78865111906978	0.00404	0.01959	0.0	743.41953604642	172.68451784512584	0.06054	0.45905	0.0	1013.0095225569536	167.193974182399
