date	pouleData	Fortis	Fortis	Fortis	Fortis	Fortis	HKC (Ha)	HKC (Ha)	HKC (Ha)	HKC (Ha)	HKC (Ha)	PKC	PKC	PKC	PKC	PKC	Swift (M)	Swift (M)	Swift (M)	Swift (M)	Swift (M)
2026-08-28	{"results":[],"fixtures":[{"home":"PKC","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-09-05","pHome":0.7230422725899633,"pDraw":0.04445828184041978,"pAway":0.23249944556961688,"guessHome":22,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2491.657123131437,"awayRating":2334.6430284535927,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-09-05","pHome":0.7153616869410407,"pDraw":0.050863627344540974,"pAway":0.23377468571441828,"guessHome":18,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2096.1434061056093,"awayRating":1943.083719129287,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-09-12","pHome":0.04102908465714317,"pDraw":0.015056618512235498,"pAway":0.9439142968306213,"guessHome":12,"guessAway":23,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1943.083719129287,"awayRating":2491.657123131437,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-09-12","pHome":0.8049774159902785,"pDraw":0.03726380226065823,"pAway":0.15775878174906333,"guessHome":22,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2334.6430284535927,"awayRating":2096.1434061056093,"homeRd":0,"awayRd":0,"special":false},{"home":"PKC","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-09-19","pHome":0.9094235516959015,"pDraw":0.021094696239829014,"pAway":0.06948175206426943,"guessHome":24,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2491.657123131437,"awayRating":2096.1434061056093,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-09-19","pHome":0.9067432105906754,"pDraw":0.022929576483998126,"pAway":0.07032721292532651,"guessHome":21,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2334.6430284535927,"awayRating":1943.083719129287,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-09-26","pHome":0.09714938051941435,"pDraw":0.02883681848490438,"pAway":0.8740138009956813,"guessHome":13,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1943.083719129287,"awayRating":2334.6430284535927,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-09-26","pHome":0.09597345451821848,"pDraw":0.026564466444993107,"pAway":0.8774620790367884,"guessHome":14,"guessAway":23,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2096.1434061056093,"awayRating":2491.657123131437,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-10-03","pHome":0.3019185101020372,"pDraw":0.05692368162827055,"pAway":0.6411578082696923,"guessHome":14,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1943.083719129287,"awayRating":2096.1434061056093,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-10-03","pHome":0.3003237694684019,"pDraw":0.049888410518246995,"pAway":0.6497878200133511,"guessHome":18,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2334.6430284535927,"awayRating":2491.657123131437,"homeRd":0,"awayRd":0,"special":false},{"home":"PKC","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-10-10","pHome":0.959299550483969,"pDraw":0.011518557340126082,"pAway":0.029181892175904955,"guessHome":23,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2491.657123131437,"awayRating":1943.083719129287,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-10-10","pHome":0.2100109754859405,"pDraw":0.04390306199288563,"pAway":0.7460859625211739,"guessHome":16,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2096.1434061056093,"awayRating":2334.6430284535927,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"PKC"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"HKC (Ha)"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Swift (M)"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Fortis"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.00725	0.0	0.93745	1943.083719129287	111.72805337159018	0.26631	0.0	0.21666	2334.6430284535927	107.90880420173572	0.68641	0.0	0.05789	2491.657123131437	103.28489923643619	0.04003	0.0	0.788	2096.1434061056093	110.52849277222987
2026-09-05	{"results":[{"home":"PKC","away":"HKC (Ha)","homeScore":22,"awayScore":16,"date":"2026-09-05","pHome":0.7228953001130497,"pDraw":0.044795056052096494,"pAway":0.2323096438348538,"guessHome":22,"guessAway":17,"homeDiff":6.370817175338743,"awayDiff":-6.803082144769633,"homeRating":2491.657123131437,"awayRating":2334.6430284535927,"homeRd":136,"awayRd":142,"actualHome":{"name":"PKC","created":"1970-05-31","lastDate":"2026-09-05","firstMatchDate":"1970-05-31","lastMatchDate":"2026-09-05","games":1724,"place":"Papendrecht","topRating":2706.815849312423,"rating":2498.7170363698147,"rd":129.93564400653383,"rv":0.05592461420318821,"averageScore":21.544939947935017,"currentDiff":-45.34855687306572,"origins":1,"startOffset":-108.5,"opponents":{}},"actualAway":{"name":"HKC (Ha)","created":"1970-08-30","lastDate":"2026-09-05","firstMatchDate":"1970-08-30","lastMatchDate":"2026-09-05","games":1521,"place":"Hardinxveld-Giessendam","topRating":2376.1145198262484,"rating":2327.714910006399,"rd":135.10989459428714,"rv":0.056137598993165706,"averageScore":20.7808907920777,"currentDiff":34.15365909531101,"origins":1,"startOffset":176.5,"opponents":{}},"special":false},{"home":"Swift (M)","away":"Fortis","homeScore":16,"awayScore":13,"date":"2026-09-05","pHome":0.7151954264641569,"pDraw":0.0514576804193036,"pAway":0.2333468931165395,"guessHome":18,"guessAway":14,"homeDiff":-3.793808595815335,"awayDiff":3.8912778928472562,"homeRating":2096.1434061056093,"awayRating":1943.083719129287,"homeRd":144,"awayRd":145,"actualHome":{"name":"Swift (M)","created":"1934-10-14","lastDate":"2026-09-05","firstMatchDate":"1934-10-14","lastMatchDate":"2026-09-05","games":1968,"place":"Middelburg","topRating":2252.798872055364,"rating":2092.463060829718,"rd":136.31745020424304,"rv":0.055541738805186314,"averageScore":19.105099660095963,"currentDiff":84.8407396657301,"origins":1,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Fortis","created":"1998-09-12","lastDate":"2026-09-05","firstMatchDate":"1998-09-12","lastMatchDate":"2026-09-05","games":745,"place":"Oost-Souburg","topRating":2127.7753485937496,"rating":1946.755946798964,"rd":137.41602351247437,"rv":0.05591048150652032,"averageScore":15.773054918769663,"currentDiff":-5.656568870079809,"origins":1,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Fortis","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-09-12","pHome":0.04016125152026029,"pDraw":0.015083436960577234,"pAway":0.9447553115191625,"guessHome":11,"guessAway":22,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1946.755946798964,"awayRating":2498.7170363698147,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-09-12","pHome":0.8017763632076473,"pDraw":0.038298928710773894,"pAway":0.15992470808157871,"guessHome":21,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2327.714910006399,"awayRating":2092.463060829718,"homeRd":0,"awayRd":0,"special":false},{"home":"PKC","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-09-19","pHome":0.9141379794652,"pDraw":0.020531072608446832,"pAway":0.06533094792635313,"guessHome":23,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2498.7170363698147,"awayRating":2092.463060829718,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-09-19","pHome":0.9013690923188764,"pDraw":0.02433676149338304,"pAway":0.0742941461877405,"guessHome":21,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2327.714910006399,"awayRating":1946.755946798964,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-09-26","pHome":0.10254794805050493,"pDraw":0.03051633091942807,"pAway":0.866935721030067,"guessHome":12,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1946.755946798964,"awayRating":2327.714910006399,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-09-26","pHome":0.09048279792824432,"pDraw":0.025956582187345756,"pAway":0.8835606198844099,"guessHome":14,"guessAway":23,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2092.463060829718,"awayRating":2498.7170363698147,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-10-03","pHome":0.3110389000315099,"pDraw":0.05767757054624978,"pAway":0.6312835294222403,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1946.755946798964,"awayRating":2092.463060829718,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-10-03","pHome":0.28360524264135234,"pDraw":0.048761825082890065,"pAway":0.6676329322757576,"guessHome":18,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2327.714910006399,"awayRating":2498.7170363698147,"homeRd":0,"awayRd":0,"special":false},{"home":"PKC","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-10-10","pHome":0.9600531966674384,"pDraw":0.011337389106412243,"pAway":0.028609414226149432,"guessHome":23,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2498.7170363698147,"awayRating":1946.755946798964,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-10-10","pHome":0.21320076618963535,"pDraw":0.044358314652394704,"pAway":0.74244091915797,"guessHome":16,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2092.463060829718,"awayRating":2327.714910006399,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"PKC"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":22,"against":16},"won":1,"draw":0,"lost":0}},{"team":{"name":"Swift (M)"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":16,"against":13},"won":1,"draw":0,"lost":0}},{"team":{"name":"Fortis"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":13,"against":16},"won":0,"draw":0,"lost":1}},{"team":{"name":"HKC (Ha)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":16,"against":22},"won":0,"draw":0,"lost":1}}]}	0.0028	0.0	0.96579	1946.755946798964	137.41602351247437	0.13198	0.0	0.24504	2327.714910006399	135.10989459428714	0.82774	0.0	0.02469	2498.7170363698147	129.93564400653383	0.03748	0.0	0.76448	2092.463060829718	136.31745020424304
2026-09-12	{"results":[{"home":"PKC","away":"HKC (Ha)","homeScore":22,"awayScore":16,"date":"2026-09-05","pHome":0.722788750298256,"pDraw":0.044898853798263305,"pAway":0.23231239590348074,"guessHome":22,"guessAway":17,"homeDiff":6.419968178141062,"awayDiff":-6.854350814447571,"homeRating":2488.2055522031515,"awayRating":2331.192769069141,"homeRd":136,"awayRd":142,"actualHome":{"name":"PKC","created":"1970-05-31","lastDate":"2026-09-12","firstMatchDate":"1970-05-31","lastMatchDate":"2026-09-12","games":1725,"place":"Papendrecht","topRating":2702.883022705456,"rating":2499.30853313125,"rd":130.65013446364182,"rv":0.05592148134526326,"averageScore":22.064790645607324,"currentDiff":9.838602041606464,"origins":1,"startOffset":-108.5,"opponents":{}},"actualAway":{"name":"HKC (Ha)","created":"1970-08-30","lastDate":"2026-09-12","firstMatchDate":"1970-08-30","lastMatchDate":"2026-09-12","games":1522,"place":"Hardinxveld-Giessendam","topRating":2372.7176449919566,"rating":2339.6274308139764,"rd":132.0951697761179,"rv":0.05613435423459662,"averageScore":21.125945954724514,"currentDiff":7.993888553739907,"origins":1,"startOffset":176.5,"opponents":{}},"special":false},{"home":"Swift (M)","away":"Fortis","homeScore":16,"awayScore":13,"date":"2026-09-05","pHome":0.7147375679014701,"pDraw":0.05165715582997604,"pAway":0.23360527626855382,"guessHome":17,"guessAway":13,"homeDiff":-3.7078782839330415,"awayDiff":3.8041831209500288,"homeRating":2093.7843667346096,"awayRating":1940.9919321939774,"homeRd":144,"awayRd":145,"actualHome":{"name":"Swift (M)","created":"1933-04-09","lastDate":"2026-09-12","firstMatchDate":"1933-04-09","lastMatchDate":"2026-09-12","games":1991,"place":"Middelburg","topRating":2249.9697250607646,"rating":2073.9367339779055,"rd":133.10249888752068,"rv":0.05553847799262841,"averageScore":19.054508672585374,"currentDiff":-18.77586650251442,"origins":2,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Fortis","created":"1938-06-05","lastDate":"2026-09-12","firstMatchDate":"1938-06-05","lastMatchDate":"2026-09-12","games":2634,"place":"Oost-Souburg","topRating":2122.99560868905,"rating":1939.8330597847166,"rd":137.68024280854667,"rv":0.05590497574868722,"averageScore":15.853910738584391,"currentDiff":0.10768259824794768,"origins":2,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Fortis","away":"PKC","homeScore":10,"awayScore":23,"date":"2026-09-12","pHome":0.04038116044133111,"pDraw":0.015288495843728045,"pAway":0.9443303437149408,"guessHome":11,"guessAway":22,"homeDiff":-3.696500522702081,"awayDiff":3.418633863465402,"homeRating":1944.5934439396747,"awayRating":2495.355241297625,"homeRd":140,"awayRd":132,"actualHome":{"name":"Fortis","created":"1938-06-05","lastDate":"2026-09-12","firstMatchDate":"1938-06-05","lastMatchDate":"2026-09-12","games":2634,"place":"Oost-Souburg","topRating":2122.99560868905,"rating":1939.8330597847166,"rd":137.68024280854667,"rv":0.05590497574868722,"averageScore":15.853910738584391,"currentDiff":0.10768259824794768,"origins":2,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"PKC","created":"1970-05-31","lastDate":"2026-09-12","firstMatchDate":"1970-05-31","lastMatchDate":"2026-09-12","games":1725,"place":"Papendrecht","topRating":2702.883022705456,"rating":2499.30853313125,"rd":130.65013446364182,"rv":0.05592148134526326,"averageScore":22.064790645607324,"currentDiff":9.838602041606464,"origins":1,"startOffset":-108.5,"opponents":{}},"special":false},{"home":"HKC (Ha)","away":"Swift (M)","homeScore":22,"awayScore":10,"date":"2026-09-12","pHome":0.8004252592211495,"pDraw":0.03879195279794273,"pAway":0.16078278798090778,"guessHome":21,"guessAway":15,"homeDiff":14.848239368187478,"awayDiff":-15.067988218581377,"homeRating":2324.238748013097,"awayRating":2090.2142266114147,"homeRd":138,"awayRd":139,"actualHome":{"name":"HKC (Ha)","created":"1970-08-30","lastDate":"2026-09-12","firstMatchDate":"1970-08-30","lastMatchDate":"2026-09-12","games":1522,"place":"Hardinxveld-Giessendam","topRating":2372.7176449919566,"rating":2339.6274308139764,"rd":132.0951697761179,"rv":0.05613435423459662,"averageScore":21.125945954724514,"currentDiff":7.993888553739907,"origins":1,"startOffset":176.5,"opponents":{}},"actualAway":{"name":"Swift (M)","created":"1933-04-09","lastDate":"2026-09-12","firstMatchDate":"1933-04-09","lastMatchDate":"2026-09-12","games":1991,"place":"Middelburg","topRating":2249.9697250607646,"rating":2073.9367339779055,"rd":133.10249888752068,"rv":0.05553847799262841,"averageScore":19.054508672585374,"currentDiff":-18.77586650251442,"origins":2,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"PKC","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-09-19","pHome":0.92221506202083,"pDraw":0.019170321497717246,"pAway":0.05861461648145272,"guessHome":23,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2499.30853313125,"awayRating":2073.9367339779055,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-09-19","pHome":0.9103656934664913,"pDraw":0.022837361079806662,"pAway":0.06679694545370202,"guessHome":20,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2339.6274308139764,"awayRating":1939.8330597847166,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-09-26","pHome":0.09276074069229034,"pDraw":0.028869548910871456,"pAway":0.8783697103968382,"guessHome":12,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1939.8330597847166,"awayRating":2339.6274308139764,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-09-26","pHome":0.08164833528092241,"pDraw":0.02442414284038341,"pAway":0.8939275218786942,"guessHome":13,"guessAway":22,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2073.9367339779055,"awayRating":2499.30853313125,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortis","away":"Swift (M)","homeScore":-1,"awayScore":-1,"date":"2026-10-03","pHome":0.32573152746070466,"pDraw":0.059169718029075336,"pAway":0.61509875451022,"guessHome":14,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1939.8330597847166,"awayRating":2073.9367339779055,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (Ha)","away":"PKC","homeScore":-1,"awayScore":-1,"date":"2026-10-03","pHome":0.297609202587897,"pDraw":0.04943771436922628,"pAway":0.6529530830428767,"guessHome":18,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2339.6274308139764,"awayRating":2499.30853313125,"homeRd":0,"awayRd":0,"special":false},{"home":"PKC","away":"Fortis","homeScore":-1,"awayScore":-1,"date":"2026-10-10","pHome":0.9617100195004722,"pDraw":0.010915581916934782,"pAway":0.027374398582593027,"guessHome":23,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2499.30853313125,"awayRating":1939.8330597847166,"homeRd":0,"awayRd":0,"special":false},{"home":"Swift (M)","away":"HKC (Ha)","homeScore":-1,"awayScore":-1,"date":"2026-10-10","pHome":0.1850532010164847,"pDraw":0.041185685732607724,"pAway":0.7737611132509076,"guessHome":15,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":2073.9367339779055,"awayRating":2339.6274308139764,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"PKC"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":45,"against":26},"won":2,"draw":0,"lost":0}},{"team":{"name":"HKC (Ha)"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":38,"against":32},"won":1,"draw":0,"lost":1}},{"team":{"name":"Swift (M)"},"stats":{"penalties":{"points":0},"position":3,"points":2,"goals":{"for":26,"against":35},"won":1,"draw":0,"lost":1}},{"team":{"name":"Fortis"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":23,"against":39},"won":0,"draw":0,"lost":2}}]}	3.0E-4	0.0	0.97595	1939.8330597847166	137.68024280854667	0.15138	0.0	0.10448	2339.6274308139764	132.0951697761179	0.83462	0.0	0.01694	2499.30853313125	130.65013446364182	0.0137	0.0	0.90263	2073.9367339779055	133.10249888752068
