"Fortuna (D)","2581.555689903734","2026-06-06","1957-05-05","78.65499558068768","Delft","104.3886830750688","0.055517431009060564","22.851692817307345"
"LDODK","2521.47454776342","2026-06-20","1996-09-07","-0.795643143761481","Terwispel/Gorredijk","104.38075109732027","0.05563949704928886","23.330506131824166"
"DVO","2502.619470263931","2026-06-06","1970-09-06","-18.687007614827507","Bennekom","101.95396424298357","0.05686635142732688","23.63563585047917"
"PKC","2492.7867775368077","2026-06-13","1970-05-31","-51.73816661040428","Papendrecht","103.28333868077796","0.05592691708172284","21.53516781061242"
"DOS '46","2487.0576091623493","2026-06-20","1949-04-10","8.146710360864745","Nijeveen","103.8673223697659","0.05549244985641755","22.402782996264502"
"KZ","2465.518903231278","2026-06-13","1911-10-15","72.147784447488","Koog aan de Zaan","103.58700768052437","0.0543783299404378","21.067602653379247"
"TOP (S)","2394.7150122164353","2026-06-06","1970-08-30","85.5179416192068","Sassenheim","107.38622350742483","0.05602562346717845","19.55381054503433"
"DeetosSnel","2367.889639467144","2026-06-06","2007-09-09","65.38423276536787","Dordrecht","101.36507661073121","0.05560107066498104","17.94140894325676"
"Dalto","2361.811476130516","2026-06-06","1970-08-30","65.0024735861225","Driebergen","106.14438234958028","0.05608469700192074","21.337270368265607"
"Blauw Wit","2340.670861874638","2026-06-06","1918-09-29","-124.94851045130099","Amsterdam","99.48520442060878","0.05410487107130984","19.537308542308484"
"HKC (Ha)","2335.786253366107","2026-06-06","1970-08-30","40.94202496031221","Hardinxveld-Giessendam","107.90670861873312","0.05613993138618695","20.837524822351167"
"DSC","2312.177574083893","2026-06-06","1999-09-04","-27.712399211558022","Eindhoven","118.20569961853538","0.05586584979279237","18.560567969095967"
"Unitas","2296.4244436457575","2026-06-06","1975-11-23","24.645019539579607","Harderwijk","109.28812310195038","0.05735856083811808","19.26827848152845"
"Die Haghe","2290.6577638073204","2026-06-06","1920-09-19","-50.65073674714631","Den Haag","114.98887055689633","0.0549285270274088","20.24855802668325"
"AW.DTV","2288.522642549748","2026-06-06","1996-08-31","14.969296382147604","Amsterdam","108.54292912152447","0.054592354079084436","19.389193843848293"
"Mid Fryslân","2266.690825531965","2026-06-06","2005-09-11","21.731956681652264","Grou / Reduzum","106.13145238398525","0.05597280757453421","21.62892837077666"
"KCC","2239.3626062974886","2026-06-06","1999-09-04","29.87595365426614","Capelle aan den IJssel","108.5915167800759","0.05693046804468121","17.010893301991395"
"Groen Geel","2234.101847265716","2026-06-06","1931-09-27","-11.341146575221046","Wormer","110.31656896553419","0.05493043429082814","19.738117231263885"
"Wageningen","2203.0313713796368","2026-06-06","2012-09-01","16.910295489748478","Wageningen","110.75372919291866","0.05728160493086626","18.71385021527183"
"KVS","2192.4632534604284","2026-06-06","1970-08-30","51.381767087681965","Scheveningen","111.84274615689714","0.05619113049231415","19.575515372067112"
"Spirit (Vo)","2179.844777008192","2026-06-06","1977-09-04","-13.040057847990738","Voorthuizen","114.18575218524451","0.05774416560153885","20.815053744639428"
"Valto","2171.491672313112","2026-06-06","1970-08-30","73.30314024372183","De Lier","110.90349812541409","0.05685661465701342","18.79149256481062"
"Nieuwerkerk","2156.849672636811","2026-06-06","1970-09-06","-61.539686147113116","Niewerkerk aan den IJssel","110.32749515421904","0.0566427311225728","17.37001990204247"
"KVA","2144.607835341041","2026-06-06","1995-09-02","78.49858107651448","Amstelveen","113.9137365942476","0.05559646445792918","19.863662011543774"
"Nic","2135.059644373423","2026-06-06","1921-04-24","26.60896747517063","Groningen","107.72673567067221","0.05496520357239025","20.26822550201959"
"KVZ '23","2115.7980576161053","2026-06-06","2023-09-09","61.96674762700445","Zaandam","113.99131102615763","0.055490373115935146","17.863109104890057"
"Swift (M)","2097.331547862097","2026-06-06","1934-10-14","88.6417544252422","Middelburg","110.52747666810973","0.055544010120296236","19.192252623989337"
"De Meeuwen","2090.348959797445","2026-06-06","1973-09-02","61.61159691707621","Putten","114.84534610293566","0.05696206423524507","17.45465262274087"
