name,place,lastEventDate,lastMatchDate,firstMatchDate,topRating,lastRating,matches,fate,fateType,fateTeams
"Midlandia","Bunnik","2022-06-19","2022-06-18","1969-08-31",1782.0324987811048,1213.4986507316519,1019,"Gestopt",end,""
"AKC '54","Anderen","2021-11-01","2021-10-31","1956-04-15",1554.0160436817962,955.6753691557403,654,"Gestopt",end,""
"TFS","Drachtstercompagnie","2021-09-15","2020-10-11","1934-04-22",1893.5929491993509,1404.034152016874,1376,"Opgegaan in Wez Handich",merge_into,"Wez Handich"
"Dio","Oosterwolde","2021-09-11","2020-03-07","1930-05-25",1888.9673814979312,1284.6826396690724,1582,"Gefuseerd met VZK / Donkerbroek tot VDDO",fuse_new,"VZK / Donkerbroek|VDDO"
"VZK / Donkerbroek","Haule","2021-09-11","2020-10-10","2007-09-08",1575.4669028040125,1559.5231256942,289,"Gefuseerd met Dio tot VDDO",fuse_new,"Dio|VDDO"
"DES (N)","Norg","2020-10-05","2020-10-04","1959-09-13",1921.1835995888973,857.3158627400953,1181,"Gestopt",end,""
"Spes (E)","Eexterveen","2020-10-05","2020-10-04","1958-06-15",1614.5484270516995,329.5336245068497,719,"Gestopt",end,""
"Dubbel Zes '66  / Futura","Den Haag","2020-09-05","2020-03-07","2019-09-07",1884.6221428855656,1694.536537726749,19,"Hernoemd naar Dunas",rename,"Dunas"
"Phenix '72","Goor","2020-03-01","2020-02-29","1972-09-03",1607.9817384091157,1117.5327307920127,541,"Gestopt",end,""
"BMC","Berlicum","2020-02-17","2020-02-16","2005-09-04",1537.1483345395238,1535.7540190759498,326,"Gestopt",end,""
"VIOS (W)","Willemstad","2019-10-20","2019-10-19","1968-11-03",1642.458673320217,1052.5714043066016,553,"Gestopt",end,""
"Odis (E)","Elsloo","2019-10-13","2019-10-12","1951-04-08",1713.9364677983292,799.5739387836212,574,"Opgegaan in VZK / Donkerbroek",merge_into,"VZK / Donkerbroek"
"Fortuna '68","Knegsel","2019-09-15","2017-05-28","1981-10-04",1366.4049618327483,871.9752879193196,467,"Hernoemd naar FSC",rename,"FSC"
"Dubbel Zes '66","Den Haag","2019-09-07","2019-06-15","1967-09-03",1861.7278616083902,1244.777022612844,1016,"Gefuseerd met Futura tot Dubbel Zes '66  / Futura",fuse_new,"Futura|Dubbel Zes '66  / Futura"
"Futura","Den Haag","2019-09-07","2019-06-15","1990-09-09",2182.0887300598406,1870.3865516647606,814,"Gefuseerd met Dubbel Zes '66 tot Dubbel Zes '66  / Futura",fuse_new,"Dubbel Zes '66|Dubbel Zes '66  / Futura"
"Quick '21","Oudega","2019-09-07","2019-06-15","1922-07-09",2013.7493522749878,1869.7378981695963,1556,"Gefuseerd met Vlug en Vaardig (G) tot Quick '21 / Vlug en Vaardig (G)",fuse_new,"Vlug en Vaardig (G)|Quick '21 / Vlug en Vaardig (G)"
"Vlug en Vaardig (G)","Garyp","2019-09-07","2019-06-15","1967-12-10",1995.4768761137875,1245.6696505301134,1214,"Gefuseerd met Quick '21 tot Quick '21 / Vlug en Vaardig (G)",fuse_new,"Quick '21|Quick '21 / Vlug en Vaardig (G)"
"Crescendo","Leiden","2019-06-16","2019-06-15","1950-10-15",1862.3379196482101,1478.0599194675945,1518,"Gestopt",end,""
"Maaskanters","Well","2019-05-18","2018-06-02","2000-12-16",1294.2931579548813,903.340169842507,154,"Gefuseerd met Rodebo tot Stip",fuse_new,"Rodebo|Stip"
"Rodebo","Den Bosch","2019-05-18","2018-01-20","2005-09-04",1280.8170490752968,852.6735349051736,151,"Gefuseerd met Maaskanters tot Stip",fuse_new,"Maaskanters|Stip"
"Dordrecht²","Dordrecht","2018-09-22","2018-06-03","2006-09-03",1873.0456933997966,1168.8700139577913,331,"Opgegaan in DeetosSnel",merge_into,"DeetosSnel"
"'t Overschotje","Lochem","2018-06-04","2018-06-03","1922-10-22",2011.891611924781,1130.4964066564064,1323,"Gestopt",end,""
"De Tovers","Zeist","2018-06-04","2018-06-03","1924-10-12",1913.1547838917552,1174.9700449587424,1443,"Gestopt",end,""
"Ter Leede","Leerdam","2018-06-03","2018-06-02","1993-11-20",1450.4380290225279,810.3365739331565,396,"Gestopt",end,""
"Reflex","Woerden","2018-02-11","2018-02-10","1993-11-13",1487.0461638679815,557.7511230628243,245,"Gestopt",end,""
"Activitas","Maurik","2018-01-28","2018-01-27","1996-09-28",1449.1761506282983,526.7315758675782,277,"Gestopt",end,""
"UNI (K)","Kloosterhaar","2018-01-28","2018-01-27","1946-09-15",1558.0774521227515,731.0930729650621,664,"Gestopt",end,""
"Sporting Andijk","Andijk","2017-10-08","2017-10-07","2014-09-06",1020.991287140197,829.4465612458907,80,"Gestopt",end,""
"ELKV","Etten-Leur","2017-09-10","2017-05-27","1967-09-03",1776.7713890766204,842.1564217499681,769,"Gefuseerd met Zevenbergen tot Focus",fuse_new,"Zevenbergen|Focus"
"Zevenbergen","Zevenbergen","2017-09-10","2016-05-27","2003-11-22",1195.3451596119776,847.4903836241339,158,"Gefuseerd met ELKV tot Focus",fuse_new,"ELKV|Focus"
"Atalante","Apeldoorn","2017-09-03","2017-05-28","1991-09-15",1985.9064673918992,1646.2818633849586,651,"Gefuseerd met Steeds Hooger tot Apeldoorn",fuse_new,"Steeds Hooger|Apeldoorn"
"Steeds Hooger","Apeldoorn","2017-09-03","2017-05-28","1933-01-15",2223.273480951912,1563.6302008027076,1596,"Gefuseerd met Atalante tot Apeldoorn",fuse_new,"Atalante|Apeldoorn"
"Boemerang","Schijndel","2017-09-03","2017-05-28","1979-11-18",1516.5054484805742,955.4823922748299,519,"Hernoemd naar KVS '17",rename,"KVS '17"
"DKC (De)","Delft","2017-09-02","2017-05-28","1920-11-07",2064.027945013767,1611.0710849654433,1944,"Opgegaan in Excelsior (D)",merge_into,"Excelsior (D)"
"Zierikzee","Zierikzee","2017-06-04","2017-06-03","2017-05-27",1016.5575205667479,857.8456122398744,2,"Gestopt",end,""
"Soesterkwartier","Amersfoort","2017-05-28","2017-05-27","1935-10-20",2002.7637165865067,752.4076924452837,1187,"Gestopt",end,""
"All-Ready","Zierikzee","2017-05-27","2012-06-02","1967-08-27",1783.8076071100845,1016.5575205667479,893,"Hernoemd naar Zierikzee",rename,"Zierikzee"
"SEV (L)","Leidschendam","2017-05-21","2017-05-20","1970-09-20",1667.350147452248,910.6797046666574,896,"Gestopt",end,""
"Frigro","Gerkesklooster/Stroobos","2016-09-03","2016-05-28","1968-12-01",1610.6984516861016,1057.9149847697558,626,"Gefuseerd met Invicta tot IFC '25",fuse_new,"Invicta|IFC '25"
"Invicta","Kollum","2016-09-03","2016-05-28","1963-05-19",1728.7420878878331,1586.4560529343953,943,"Gefuseerd met Frigro tot IFC '25",fuse_new,"Frigro|IFC '25"
"Boelenslaan","Boelenslaan","2016-09-03","2016-05-28","1967-03-19",1769.7654771570196,1020.7183291158668,767,"Opgegaan in It Fean",merge_into,"It Fean"
"Vlaardingen","Vlaardingen","2016-09-03","2016-05-26","1963-10-27",2033.4106819661226,1523.1224814212655,1291,"Opgegaan in Twist",merge_into,"Twist"
"Unicum","Rotterdam","2016-05-30","2016-05-29","1948-09-19",1698.1900129209391,1022.0284458723162,641,"Gestopt",end,""
"Velox","Rotterdam","2016-05-30","2016-05-29","1907-03-24",1981.525957256175,1008.8519622808823,1253,"Gestopt",end,""
"Altijd Kwiek","De Veenhoop","2016-05-29","2016-05-28","1947-07-06",1645.6331117650432,1260.70285806923,867,"Gestopt",end,""
"Ready (H)","Den Haag","2015-08-29","2015-05-31","1928-09-23",2083.295142532413,1651.5076635468179,1728,"Opgegaan in Achilles (H)",merge_into,"Achilles (H)"
"VKC (S)","Siegerswoude","2015-08-29","2015-05-31","1931-05-31",2244.283901280546,1263.1201394208151,1436,"Opgegaan in Oerterp",merge_into,"Oerterp"
"Ermelo","Ermelo","2015-05-31","2015-05-30","1993-12-11",1743.8898117948609,993.3818607374645,404,"Gestopt",end,""
"MIK","Amsterdam","2015-03-29","2015-03-28","1967-11-08",2004.6618962168347,1090.926506824931,880,"Gestopt",end,""
"Emergo","Sint Maartensdijk","2015-03-07","2015-02-28","1977-09-18",1289.8217916808712,394.0377684604263,28,"Opgegaan in Volharding",merge_into,"Volharding"
"WWMD","Hemrik","2014-12-15","2014-12-14","1921-05-08",2118.0259683279796,1001.8356763030989,1417,"Gestopt",end,""
"Asonia","Andijk","2014-09-06","2014-05-24","2005-09-03",1373.0661588632388,922.4563490865975,161,"Hernoemd naar Sporting Andijk",rename,"Sporting Andijk"
"Oranje Nassau (V)","Vlaardingen","2014-09-06","2014-05-24","1968-09-01",1748.1196907123156,1693.3400159024247,1033,"Gefuseerd met Spirit (Vl) tot Twist",fuse_new,"Spirit (Vl)|Twist"
"Spirit (Vl)","Vlaardingen","2014-09-06","2014-05-17","1970-08-30",1616.8928688681858,935.4279086056752,494,"Gefuseerd met Oranje Nassau (V) tot Twist",fuse_new,"Oranje Nassau (V)|Twist"
"DFD","Oentsjerk","2014-08-30","2014-05-24","1981-09-20",2041.8282032183104,1698.6886765483948,729,"Gefuseerd met Tietjerk tot De Wâlden",fuse_new,"Tietjerk|De Wâlden"
