date	pouleData	Elburg	Elburg	Elburg	Elburg	Elburg	Fortissimo	Fortissimo	Fortissimo	Fortissimo	Fortissimo	Nova	Nova	Nova	Nova	Nova	Rood Wit (W)	Rood Wit (W)	Rood Wit (W)	Rood Wit (W)	Rood Wit (W)
2025-08-13	{"results":[],"fixtures":[{"home":"Fortissimo","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-09-06","pHome":0.5302071838205922,"pDraw":0.06001963109441527,"pAway":0.4097731850849926,"guessHome":17,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1586.8803935765607,"awayRating":1575.5286807616174,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-09-06","pHome":0.48806089586954493,"pDraw":0.06022590661262778,"pAway":0.4517131975178273,"guessHome":17,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1663.9664484461246,"awayRating":1682.1140330953613,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.388699508823628,"pDraw":0.05871954933420187,"pAway":0.5525809418421701,"guessHome":16,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1575.5286807616174,"awayRating":1663.9664484461246,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.6457950971699875,"pDraw":0.05514204034341258,"pAway":0.29906286248659986,"guessHome":18,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1682.1140330953613,"awayRating":1586.8803935765607,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6594451623636719,"pDraw":0.05609259627359786,"pAway":0.28446224136273024,"guessHome":17,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1682.1140330953613,"awayRating":1575.5286807616174,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6231428005787356,"pDraw":0.053913058131757785,"pAway":0.32294414128950655,"guessHome":19,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1663.9664484461246,"awayRating":1586.8803935765607,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.49762072727172235,"pDraw":0.06056611849616461,"pAway":0.44181315423211304,"guessHome":17,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1575.5286807616174,"awayRating":1586.8803935765607,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5401262031474601,"pDraw":0.059359894903893984,"pAway":0.40051390194864595,"guessHome":18,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1682.1140330953613,"awayRating":1663.9664484461246,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortissimo","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.37890636022714186,"pDraw":0.059406056830574316,"pAway":0.5616875829422838,"guessHome":16,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1586.8803935765607,"awayRating":1682.1140330953613,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.6373540679113587,"pDraw":0.05478424102702806,"pAway":0.3078616910616132,"guessHome":19,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1663.9664484461246,"awayRating":1575.5286807616174,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.3625161228677263,"pDraw":0.06094201270822164,"pAway":0.5765418644240521,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1575.5286807616174,"awayRating":1682.1140330953613,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortissimo","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.4053349571245275,"pDraw":0.057288891096114014,"pAway":0.5373761517793585,"guessHome":18,"guessAway":19,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1586.8803935765607,"awayRating":1663.9664484461246,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Nova"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Rood Wit (W)"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Fortissimo"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Elburg"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.164305	0.164305	0.337734	1575.5286807616174	113.01077189982804	0.181532	0.181532	0.31645	1586.8803935765607	119.45428703407728	0.346168	0.346168	0.159799	1682.1140330953613	116.29084935607789	0.307995	0.307995	0.186017	1663.9664484461246	116.01351878653516
2025-09-06	{"results":[{"home":"Fortissimo","away":"Elburg","homeScore":13,"awayScore":16,"date":"2025-09-06","pHome":0.5300357666676137,"pDraw":0.060023764118224854,"pAway":0.4099404692141615,"guessHome":17,"guessAway":16,"homeDiff":-24.860556976705993,"awayDiff":23.512017783144074,"homeRating":1617.9604311191856,"awayRating":1606.6079485973323,"homeRd":155,"awayRd":151,"actualHome":{"name":"Fortissimo","created":"1983-09-04","lastDate":"2025-09-06","games":926,"place":"IJsselstein","rating":1593.093573363465,"rd":144.11061822161457,"rv":0.05765760972388647,"averageScore":17.56536351279081,"currentDiff":-24.860556976705993,"origins":1,"startOffset":63.75,"opponents":{}},"actualAway":{"name":"Elburg","created":"1992-12-20","lastDate":"2025-09-06","games":747,"place":"Elburg","rating":1630.113665601462,"rd":140.62842097576294,"rv":0.05805206204332356,"averageScore":15.830038608189913,"currentDiff":23.512017783144074,"origins":1,"startOffset":110.25,"opponents":{}},"special":false},{"home":"Rood Wit (W)","away":"Nova","homeScore":10,"awayScore":18,"date":"2025-09-06","pHome":0.4878727270438661,"pDraw":0.0602272175592759,"pAway":0.451900055396858,"guessHome":18,"guessAway":17,"homeDiff":-42.61441574644368,"awayDiff":41.703650957365426,"homeRating":1695.0464861848836,"awayRating":1713.1882262841302,"homeRd":154,"awayRd":152,"actualHome":{"name":"Rood Wit (W)","created":"2000-11-18","lastDate":"2025-09-06","games":583,"place":"Wezep","rating":1652.4257696594254,"rd":142.78148992220952,"rv":0.058612604571792355,"averageScore":18.089297087949912,"currentDiff":-42.61441574644368,"origins":1,"startOffset":-26.0,"opponents":{}},"actualAway":{"name":"Nova","created":"1990-09-09","lastDate":"2025-09-06","games":1410,"place":"Bilthoven","rating":1754.8855764624811,"rd":141.40864506568093,"rv":0.05685134412618674,"averageScore":15.604982980987224,"currentDiff":41.703650957365426,"origins":3,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Elburg","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.482794085547661,"pDraw":0.06032808994281508,"pAway":0.4568778245095239,"guessHome":17,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1630.113665601462,"awayRating":1652.4257696594254,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.7275751637298147,"pDraw":0.04850271006587492,"pAway":0.2239221262043104,"guessHome":19,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1754.8855764624811,"awayRating":1593.093573363465,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6829904979888701,"pDraw":0.05418186939828562,"pAway":0.26282763261284425,"guessHome":17,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1754.8855764624811,"awayRating":1630.113665601462,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.5994863663986909,"pDraw":0.0555816786264865,"pAway":0.3449319549748226,"guessHome":19,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1652.4257696594254,"awayRating":1593.093573363465,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5672887276250025,"pDraw":0.05913437990000253,"pAway":0.37357689247499504,"guessHome":18,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1630.113665601462,"awayRating":1593.093573363465,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.6560470137454278,"pDraw":0.05406953816627591,"pAway":0.28988344808829625,"guessHome":18,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1754.8855764624811,"awayRating":1652.4257696594254,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortissimo","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.2936609166184294,"pDraw":0.05490209545757785,"pAway":0.6514369879239927,"guessHome":15,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1593.093573363465,"awayRating":1754.8855764624811,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.5467700540190277,"pDraw":0.059245794120594775,"pAway":0.3939841518603776,"guessHome":18,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1652.4257696594254,"awayRating":1630.113665601462,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.33921919809311196,"pDraw":0.05974829453384167,"pAway":0.6010325073730464,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1630.113665601462,"awayRating":1754.8855764624811,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortissimo","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.43076534357641383,"pDraw":0.058303376041198174,"pAway":0.510931280382388,"guessHome":17,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1593.093573363465,"awayRating":1652.4257696594254,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Nova"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":18,"against":10},"won":1,"draw":0,"lost":0}},{"team":{"name":"Elburg"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":16,"against":13},"won":1,"draw":0,"lost":0}},{"team":{"name":"Fortissimo"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":13,"against":16},"won":0,"draw":0,"lost":1}},{"team":{"name":"Rood Wit (W)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":10,"against":18},"won":0,"draw":0,"lost":1}}]}	0.239091	0.239091	0.1653	1630.113665601462	140.62842097576294	0.0792	0.0792	0.473454	1593.093573363465	144.11061822161457	0.570966	0.570966	0.054082	1754.8855764624811	141.40864506568093	0.110743	0.110743	0.307164	1652.4257696594254	142.78148992220952
2025-09-13	{"results":[{"home":"Fortissimo","away":"Elburg","homeScore":13,"awayScore":16,"date":"2025-09-06","pHome":0.5300357666676137,"pDraw":0.060023764118224854,"pAway":0.4099404692141615,"guessHome":17,"guessAway":16,"homeDiff":-24.860556976705993,"awayDiff":23.512017783144074,"homeRating":1617.9604311191856,"awayRating":1606.6079485973323,"homeRd":155,"awayRd":151,"actualHome":{"name":"Fortissimo","created":"1983-09-04","lastDate":"2025-09-13","games":927,"place":"IJsselstein","rating":1580.5032740721433,"rd":138.7547111184787,"rv":0.05765528759456622,"averageScore":17.432532159634,"currentDiff":-37.510949590100154,"origins":1,"startOffset":63.75,"opponents":{}},"actualAway":{"name":"Elburg","created":"1992-12-20","lastDate":"2025-09-13","games":748,"place":"Elburg","rating":1654.9610758875724,"rd":134.0668356749968,"rv":0.05804965825250795,"averageScore":15.694887985123914,"currentDiff":48.29933474718223,"origins":1,"startOffset":110.25,"opponents":{}},"special":false},{"home":"Rood Wit (W)","away":"Nova","homeScore":10,"awayScore":18,"date":"2025-09-06","pHome":0.4878727270438661,"pDraw":0.0602272175592759,"pAway":0.451900055396858,"guessHome":18,"guessAway":17,"homeDiff":-42.61441574644368,"awayDiff":41.703650957365426,"homeRating":1695.0464861848836,"awayRating":1713.1882262841302,"homeRd":154,"awayRd":152,"actualHome":{"name":"Rood Wit (W)","created":"2000-11-18","lastDate":"2025-09-13","games":584,"place":"Wezep","rating":1626.9921773019114,"rd":135.79500749567202,"rv":0.05861012481803761,"averageScore":17.7441032208737,"currentDiff":-68.10810142603009,"origins":1,"startOffset":-26.0,"opponents":{}},"actualAway":{"name":"Nova","created":"1990-09-09","lastDate":"2025-09-13","games":1411,"place":"Bilthoven","rating":1767.2056551096118,"rd":136.46878653707313,"rv":0.05684912189095907,"averageScore":15.615859058696476,"currentDiff":53.96363628242375,"origins":3,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Elburg","away":"Rood Wit (W)","homeScore":14,"awayScore":9,"date":"2025-09-13","pHome":0.48271261396312526,"pDraw":0.06032848968704463,"pAway":0.4569588963498301,"guessHome":18,"guessAway":17,"homeDiff":24.787316964038155,"awayDiff":-25.493685679586406,"homeRating":1630.0942484200425,"awayRating":1652.406352478006,"homeRd":143,"awayRd":145,"actualHome":{"name":"Elburg","created":"1992-12-20","lastDate":"2025-09-13","games":748,"place":"Elburg","rating":1654.9610758875724,"rd":134.0668356749968,"rv":0.05804965825250795,"averageScore":15.694887985123914,"currentDiff":48.29933474718223,"origins":1,"startOffset":110.25,"opponents":{}},"actualAway":{"name":"Rood Wit (W)","created":"2000-11-18","lastDate":"2025-09-13","games":584,"place":"Wezep","rating":1626.9921773019114,"rd":135.79500749567202,"rv":0.05861012481803761,"averageScore":17.7441032208737,"currentDiff":-68.10810142603009,"origins":1,"startOffset":-26.0,"opponents":{}},"special":false},{"home":"Nova","away":"Fortissimo","homeScore":19,"awayScore":12,"date":"2025-09-13","pHome":0.7275317825866479,"pDraw":0.04850702349588165,"pAway":0.2239611939174705,"guessHome":19,"guessAway":14,"homeDiff":12.259985325058324,"awayDiff":-12.65039261339416,"homeRating":1754.8661592810618,"awayRating":1593.0741561820457,"homeRd":144,"awayRd":147,"actualHome":{"name":"Nova","created":"1990-09-09","lastDate":"2025-09-13","games":1411,"place":"Bilthoven","rating":1767.2056551096118,"rd":136.46878653707313,"rv":0.05684912189095907,"averageScore":15.615859058696476,"currentDiff":53.96363628242375,"origins":3,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Fortissimo","created":"1983-09-04","lastDate":"2025-09-13","games":927,"place":"IJsselstein","rating":1580.5032740721433,"rd":138.7547111184787,"rv":0.05765528759456622,"averageScore":17.432532159634,"currentDiff":-37.510949590100154,"origins":1,"startOffset":63.75,"opponents":{}},"special":false}],"fixtures":[{"home":"Nova","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6660913873770655,"pDraw":0.05567234615406441,"pAway":0.27823626646887006,"guessHome":17,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1767.2056551096118,"awayRating":1654.9610758875724,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.5801661087985952,"pDraw":0.056877366557900266,"pAway":0.3629565246435046,"guessHome":19,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1626.9921773019114,"awayRating":1580.5032740721433,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Fortissimo","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.6175494382758763,"pDraw":0.05707124435370059,"pAway":0.32537931737042314,"guessHome":18,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1654.9610758875724,"awayRating":1580.5032740721433,"homeRd":0,"awayRd":0,"special":false},{"home":"Nova","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.7015666559059244,"pDraw":0.050779255333497086,"pAway":0.24765408876057854,"guessHome":19,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1767.2056551096118,"awayRating":1626.9921773019114,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortissimo","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.26339787872672016,"pDraw":0.05255891898654419,"pAway":0.6840432022867357,"guessHome":15,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1580.5032740721433,"awayRating":1767.2056551096118,"homeRd":0,"awayRd":0,"special":false},{"home":"Rood Wit (W)","away":"Elburg","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.47306235025299825,"pDraw":0.06088495063258448,"pAway":0.46605269911441727,"guessHome":17,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1626.9921773019114,"awayRating":1654.9610758875724,"homeRd":0,"awayRd":0,"special":false},{"home":"Elburg","away":"Nova","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.3543833484662332,"pDraw":0.0606681035014901,"pAway":0.5849485480322767,"guessHome":15,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1654.9610758875724,"awayRating":1767.2056551096118,"homeRd":0,"awayRd":0,"special":false},{"home":"Fortissimo","away":"Rood Wit (W)","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.4474477982491616,"pDraw":0.058989511974755104,"pAway":0.4935626897760833,"guessHome":17,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1580.5032740721433,"awayRating":1626.9921773019114,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Nova"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":37,"against":22},"won":2,"draw":0,"lost":0}},{"team":{"name":"Elburg"},"stats":{"penalties":{"points":0},"position":2,"points":4,"goals":{"for":30,"against":22},"won":2,"draw":0,"lost":0}},{"team":{"name":"Fortissimo"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":25,"against":35},"won":0,"draw":0,"lost":2}},{"team":{"name":"Rood Wit (W)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":19,"against":32},"won":0,"draw":0,"lost":2}}]}	0.319057	0.319057	0.038057	1654.9610758875724	134.0668356749968	0.015316	0.015316	0.541282	1580.5032740721433	138.7547111184787	0.646588	0.646588	0.007932	1767.2056551096118	136.46878653707313	0.019039	0.019039	0.412729	1626.9921773019114	135.79500749567202
