date	pouleData	't Capproen	't Capproen	't Capproen	't Capproen	't Capproen	Nikantes	Nikantes	Nikantes	Nikantes	Nikantes	Oranje Zwart (M)	Oranje Zwart (M)	Oranje Zwart (M)	Oranje Zwart (M)	Oranje Zwart (M)	Triade	Triade	Triade	Triade	Triade
2025-08-13	{"results":[],"fixtures":[{"home":"Oranje Zwart (M)","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-09-06","pHome":0.42329182814857913,"pDraw":0.07162586502745016,"pAway":0.5050823068239707,"guessHome":12,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1120.2624532259322,"awayRating":1179.6774710451161,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-09-06","pHome":0.2603563487291567,"pDraw":0.06250615214707222,"pAway":0.6771374991237711,"guessHome":11,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":812.2860887089514,"awayRating":997.9531619813575,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.8915034943288086,"pDraw":0.031471320717781526,"pAway":0.07702518495340988,"guessHome":15,"guessAway":8,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1179.6774710451161,"awayRating":812.2860887089514,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.33897600207285605,"pDraw":0.06557142705841223,"pAway":0.5954525708687317,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":997.9531619813575,"awayRating":1120.2624532259322,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.14639661476379073,"pDraw":0.04650123716656518,"pAway":0.8071021480696441,"guessHome":9,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":812.2860887089514,"awayRating":1120.2624532259322,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.2654466991237019,"pDraw":0.061639641817207824,"pAway":0.6729136590590903,"guessHome":11,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":997.9531619813575,"awayRating":1179.6774710451161,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.7484508657268709,"pDraw":0.05448672369283397,"pAway":0.1970624105802951,"guessHome":14,"guessAway":10,"homeDiff":0.0,"awayDiff":0.0,"homeRating":997.9531619813575,"awayRating":812.2860887089514,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5923451414271266,"pDraw":0.06833540419450612,"pAway":0.3393194543783673,"guessHome":13,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1179.6774710451161,"awayRating":1120.2624532259322,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.1072535548053618,"pDraw":0.0394995846195344,"pAway":0.8532468605751038,"guessHome":8,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":812.2860887089514,"awayRating":1179.6774710451161,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.6765876346961323,"pDraw":0.05966772722186564,"pAway":0.2637446380820021,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1120.2624532259322,"awayRating":997.9531619813575,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.7448459456212114,"pDraw":0.0538655900805059,"pAway":0.20128846429828268,"guessHome":15,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1179.6774710451161,"awayRating":997.9531619813575,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.8554923957925435,"pDraw":0.037947459229111524,"pAway":0.10656014497834498,"guessHome":15,"guessAway":9,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1120.2624532259322,"awayRating":812.2860887089514,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Triade"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.479645	0.557439	0.0	1179.6774710451161	116.66198784808823	0.032875	0.038822	0.0	812.2860887089514	129.6532390442303	0.337721	0.417014	0.0	1120.2624532259322	121.77242618058031	0.149759	0.188177	0.0	997.9531619813575	119.85812623847174
2025-09-06	{"results":[{"home":"Oranje Zwart (M)","away":"\u0027t Capproen","homeScore":12,"awayScore":12,"date":"2025-09-06","pHome":0.42405139075852993,"pDraw":0.07163996557145458,"pAway":0.5043086436700155,"guessHome":12,"guessAway":13,"homeDiff":3.9838406546823535,"awayDiff":-3.9242795220368407,"homeRating":1151.3322948515756,"awayRating":1210.7473887993792,"homeRd":158,"awayRd":157,"actualHome":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2025-09-06","games":671,"place":"Mijnsheerenland","rating":1155.3098347272435,"rd":146.35899805804212,"rv":0.05850181151811303,"averageScore":13.112253491918263,"currentDiff":3.9838406546823535,"origins":1,"startOffset":-254.5,"opponents":{}},"actualAway":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2025-09-06","games":545,"place":"Hellevoetsluis","rating":1206.8168084983279,"rd":145.47246950333232,"rv":0.05886083634449991,"averageScore":11.676507456834265,"currentDiff":-3.9242795220368407,"origins":1,"startOffset":125.25,"opponents":{}},"special":false},{"home":"Nikantes","away":"Triade","homeScore":8,"awayScore":20,"date":"2025-09-06","pHome":0.2609650187752054,"pDraw":0.06257043547700525,"pAway":0.6764645457477894,"guessHome":11,"guessAway":14,"homeDiff":-36.28943401536583,"awayDiff":33.809238382734065,"homeRating":843.3557766977526,"awayRating":1029.022911174139,"homeRd":166,"awayRd":159,"actualHome":{"name":"Nikantes","created":"1996-08-31","lastDate":"2025-09-06","games":1146,"place":"Hoogvliet","rating":807.0600419033722,"rd":154.13145984057635,"rv":0.0579411106469201,"averageScore":10.501876722117727,"currentDiff":-36.28943401536583,"origins":3,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Triade","created":"1992-04-05","lastDate":"2025-09-06","games":484,"place":"Langerak","rating":1062.8258487778585,"rd":149.03833587292402,"rv":0.058891766017454134,"averageScore":13.979716587056421,"currentDiff":33.809238382734065,"origins":1,"startOffset":30.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Triade","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.3796828359053148,"pDraw":0.06709044034586475,"pAway":0.5532267237488204,"guessHome":13,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1062.8258487778585,"awayRating":1155.3098347272435,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-09-18","pHome":0.9080262079279671,"pDraw":0.027745610287274458,"pAway":0.06422818178475848,"guessHome":15,"guessAway":7,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1206.8168084983279,"awayRating":807.0600419033722,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.11943555321241028,"pDraw":0.0410366899164335,"pAway":0.8395277568711562,"guessHome":9,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":807.0600419033722,"awayRating":1155.3098347272435,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.3113215981188877,"pDraw":0.06520214886820186,"pAway":0.6234762530129104,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1062.8258487778585,"awayRating":1206.8168084983279,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.8160992986239655,"pDraw":0.044329801488094456,"pAway":0.13957089988794008,"guessHome":15,"guessAway":10,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1062.8258487778585,"awayRating":807.0600419033722,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5820852503968365,"pDraw":0.06894735977450583,"pAway":0.3489673898286577,"guessHome":13,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1206.8168084983279,"awayRating":1155.3098347272435,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.09046774097163635,"pDraw":0.03535515962834246,"pAway":0.8741770994000212,"guessHome":8,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":807.0600419033722,"awayRating":1206.8168084983279,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.6392631133981158,"pDraw":0.062329228373992684,"pAway":0.2984076582278915,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1155.3098347272435,"awayRating":1062.8258487778585,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.7029210094571936,"pDraw":0.05832131441326899,"pAway":0.2387576761295374,"guessHome":15,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1206.8168084983279,"awayRating":1062.8258487778585,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.8815341587126417,"pDraw":0.032807481350320855,"pAway":0.08565835993703746,"guessHome":15,"guessAway":8,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1155.3098347272435,"awayRating":807.0600419033722,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Triade"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":20,"against":8},"won":1,"draw":0,"lost":0}},{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":2,"points":1,"goals":{"for":12,"against":12},"won":0,"draw":1,"lost":0}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":3,"points":1,"goals":{"for":12,"against":12},"won":0,"draw":1,"lost":0}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":8,"against":20},"won":0,"draw":0,"lost":1}}]}	0.454918	0.533281	0.0	1206.8168084983279	145.47246950333232	0.008821	0.009048	0.0	807.0600419033722	154.13145984057635	0.311913	0.398586	0.0	1155.3098347272435	146.35899805804212	0.224348	0.251389	0.0	1062.8258487778585	149.03833587292402
2025-09-18	{"results":[{"home":"Oranje Zwart (M)","away":"\u0027t Capproen","homeScore":12,"awayScore":12,"date":"2025-09-06","pHome":0.42405139075852993,"pDraw":0.07163996557145458,"pAway":0.5043086436700155,"guessHome":12,"guessAway":13,"homeDiff":3.9838406546823535,"awayDiff":-3.9242795220368407,"homeRating":1151.3322948515756,"awayRating":1210.7473887993792,"homeRd":158,"awayRd":157,"actualHome":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2025-09-06","games":671,"place":"Mijnsheerenland","rating":1155.3560337866409,"rd":146.35899805804212,"rv":0.05850181151811303,"averageScore":13.112253491918263,"currentDiff":3.9838406546823535,"origins":1,"startOffset":-254.5,"opponents":{}},"actualAway":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2025-09-18","games":546,"place":"Hellevoetsluis","rating":1215.7371732826823,"rd":145.92454276939424,"rv":0.0588596857592591,"averageScore":11.953406652158009,"currentDiff":4.949886202920197,"origins":1,"startOffset":125.25,"opponents":{}},"special":false},{"home":"Nikantes","away":"Triade","homeScore":8,"awayScore":20,"date":"2025-09-06","pHome":0.2609650187752054,"pDraw":0.06257043547700525,"pAway":0.6764645457477894,"guessHome":11,"guessAway":14,"homeDiff":-36.28943401536583,"awayDiff":33.809238382734065,"homeRating":843.3557766977526,"awayRating":1029.022911174139,"homeRd":166,"awayRd":159,"actualHome":{"name":"Nikantes","created":"1996-08-31","lastDate":"2025-09-18","games":1147,"place":"Hoogvliet","rating":797.4246624978787,"rd":153.5701834126358,"rv":0.05794001405559228,"averageScore":10.32699963157793,"currentDiff":-45.971012480256604,"origins":3,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Triade","created":"1992-04-05","lastDate":"2025-09-06","games":484,"place":"Langerak","rating":1062.8720478372559,"rd":149.03833587292402,"rv":0.058891766017454134,"averageScore":13.979716587056421,"currentDiff":33.809238382734065,"origins":1,"startOffset":30.0,"opponents":{}},"special":false},{"home":"\u0027t Capproen","away":"Nikantes","homeScore":17,"awayScore":6,"date":"2025-09-18","pHome":0.9075740783338773,"pDraw":0.027853472064245655,"pAway":0.06457244960187708,"guessHome":15,"guessAway":7,"homeDiff":8.874165724957038,"awayDiff":-9.681578464890777,"homeRating":1206.8679038432879,"awayRating":807.1111372483322,"homeRd":150,"awayRd":158,"actualHome":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2025-09-18","games":546,"place":"Hellevoetsluis","rating":1215.7371732826823,"rd":145.92454276939424,"rv":0.0588596857592591,"averageScore":11.953406652158009,"currentDiff":4.949886202920197,"origins":1,"startOffset":125.25,"opponents":{}},"actualAway":{"name":"Nikantes","created":"1996-08-31","lastDate":"2025-09-18","games":1147,"place":"Hoogvliet","rating":797.4246624978787,"rd":153.5701834126358,"rv":0.05794001405559228,"averageScore":10.32699963157793,"currentDiff":-45.971012480256604,"origins":3,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Nikantes","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.1129344401172625,"pDraw":0.03972110480408153,"pAway":0.847344455078656,"guessHome":9,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":797.4246624978787,"awayRating":1155.3560337866409,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.29936768889811516,"pDraw":0.06391152874387973,"pAway":0.6367207823580051,"guessHome":12,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1062.8720478372559,"awayRating":1215.7371732826823,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-24","pHome":0.37838939957697637,"pDraw":0.06704000312420488,"pAway":0.5545705972988187,"guessHome":13,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1062.8720478372559,"awayRating":1155.3560337866409,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.8232918066203705,"pDraw":0.04326444334725832,"pAway":0.13344375003237124,"guessHome":15,"guessAway":9,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1062.8720478372559,"awayRating":797.4246624978787,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5932679662619017,"pDraw":0.06795769377027089,"pAway":0.3387743399678274,"guessHome":13,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1215.7371732826823,"awayRating":1155.3560337866409,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.08145111897355695,"pDraw":0.03277479006026729,"pAway":0.8857740909661758,"guessHome":8,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":797.4246624978787,"awayRating":1215.7371732826823,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.638014210627795,"pDraw":0.06242072372754892,"pAway":0.2995650656446561,"guessHome":15,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1155.3560337866409,"awayRating":1062.8720478372559,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.7123979833168934,"pDraw":0.05701547169424526,"pAway":0.23058654498886133,"guessHome":15,"guessAway":11,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1215.7371732826823,"awayRating":1062.8720478372559,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.8864937733181091,"pDraw":0.03185486663417347,"pAway":0.08165136004771739,"guessHome":15,"guessAway":8,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1155.3560337866409,"awayRating":797.4246624978787,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":1,"points":3,"goals":{"for":29,"against":18},"won":1,"draw":1,"lost":0}},{"team":{"name":"Triade"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":20,"against":8},"won":1,"draw":0,"lost":0}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":3,"points":1,"goals":{"for":12,"against":12},"won":0,"draw":1,"lost":0}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":14,"against":37},"won":0,"draw":0,"lost":2}}]}	0.486556	0.593511	0.0	1215.7371732826823	145.92454276939424	0.002148	0.002164	0.0	797.4246624978787	153.5701834126358	0.298754	0.407647	0.0	1155.3560337866409	146.35899805804212	0.212542	0.246915	0.0	1062.8720478372559	149.03833587292402
2025-09-20	{"results":[{"home":"Oranje Zwart (M)","away":"\u0027t Capproen","homeScore":12,"awayScore":12,"date":"2025-09-06","pHome":0.42405139075852993,"pDraw":0.07163996557145458,"pAway":0.5043086436700155,"guessHome":12,"guessAway":13,"homeDiff":3.9838406546823535,"awayDiff":-3.9242795220368407,"homeRating":1151.3322948515756,"awayRating":1210.7473887993792,"homeRd":158,"awayRd":157,"actualHome":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2025-09-20","games":672,"place":"Mijnsheerenland","rating":1147.1656048392344,"rd":145.50005531122397,"rv":0.05850011462954739,"averageScore":13.390157010506258,"currentDiff":-4.039139114356658,"origins":1,"startOffset":-254.5,"opponents":{}},"actualAway":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2025-09-20","games":547,"place":"Hellevoetsluis","rating":1186.888211748112,"rd":137.92964101219587,"rv":0.058857703068131775,"averageScore":11.844842585080823,"currentDiff":-23.731626153282605,"origins":1,"startOffset":125.25,"opponents":{}},"special":false},{"home":"Nikantes","away":"Triade","homeScore":8,"awayScore":20,"date":"2025-09-06","pHome":0.2609650187752054,"pDraw":0.06257043547700525,"pAway":0.6764645457477894,"guessHome":11,"guessAway":14,"homeDiff":-36.28943401536583,"awayDiff":33.809238382734065,"homeRating":843.3557766977526,"awayRating":1029.022911174139,"homeRd":166,"awayRd":159,"actualHome":{"name":"Nikantes","created":"1996-08-31","lastDate":"2025-09-20","games":1148,"place":"Hoogvliet","rating":805.7021110417378,"rd":148.15798615460375,"rv":0.05793836732406475,"averageScore":10.776373695548417,"currentDiff":-37.52611475802996,"origins":3,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Triade","created":"1992-04-05","lastDate":"2025-09-20","games":485,"place":"Langerak","rating":1094.2773745494862,"rd":143.75377895017684,"rv":0.05888977215457366,"averageScore":14.090768394865604,"currentDiff":65.38201427333183,"origins":1,"startOffset":30.0,"opponents":{}},"special":false},{"home":"\u0027t Capproen","away":"Nikantes","homeScore":17,"awayScore":6,"date":"2025-09-18","pHome":0.9075740783338773,"pDraw":0.027853472064245655,"pAway":0.06457244960187708,"guessHome":15,"guessAway":7,"homeDiff":8.874165724957038,"awayDiff":-9.681578464890777,"homeRating":1206.8679038432879,"awayRating":807.1111372483322,"homeRd":150,"awayRd":158,"actualHome":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2025-09-20","games":547,"place":"Hellevoetsluis","rating":1186.888211748112,"rd":137.92964101219587,"rv":0.058857703068131775,"averageScore":11.844842585080823,"currentDiff":-23.731626153282605,"origins":1,"startOffset":125.25,"opponents":{}},"actualAway":{"name":"Nikantes","created":"1996-08-31","lastDate":"2025-09-20","games":1148,"place":"Hoogvliet","rating":805.7021110417378,"rd":148.15798615460375,"rv":0.05793836732406475,"averageScore":10.776373695548417,"currentDiff":-37.52611475802996,"origins":3,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Nikantes","away":"Oranje Zwart (M)","homeScore":14,"awayScore":18,"date":"2025-09-20","pHome":0.1128206828811098,"pDraw":0.03969480629607913,"pAway":0.8474845108228111,"guessHome":9,"guessAway":15,"homeDiff":8.444897722226642,"awayDiff":-8.022979769039011,"homeRating":797.417483647204,"awayRating":1155.3488549359663,"homeRd":154,"awayRd":151,"actualHome":{"name":"Nikantes","created":"1996-08-31","lastDate":"2025-09-20","games":1148,"place":"Hoogvliet","rating":805.7021110417378,"rd":148.15798615460375,"rv":0.05793836732406475,"averageScore":10.776373695548417,"currentDiff":-37.52611475802996,"origins":3,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Oranje Zwart (M)","created":"1971-12-12","lastDate":"2025-09-20","games":672,"place":"Mijnsheerenland","rating":1147.1656048392344,"rd":145.50005531122397,"rv":0.05850011462954739,"averageScore":13.390157010506258,"currentDiff":-4.039139114356658,"origins":1,"startOffset":-254.5,"opponents":{}},"special":false},{"home":"Triade","away":"\u0027t Capproen","homeScore":14,"awayScore":12,"date":"2025-09-20","pHome":0.299144606126599,"pDraw":0.0638935852956285,"pAway":0.6369618085777725,"guessHome":12,"guessAway":14,"homeDiff":31.572775890597768,"awayDiff":-28.681512356202802,"homeRating":1062.8648689865813,"awayRating":1215.7299944320077,"homeRd":154,"awayRd":147,"actualHome":{"name":"Triade","created":"1992-04-05","lastDate":"2025-09-20","games":485,"place":"Langerak","rating":1094.2773745494862,"rd":143.75377895017684,"rv":0.05888977215457366,"averageScore":14.090768394865604,"currentDiff":65.38201427333183,"origins":1,"startOffset":30.0,"opponents":{}},"actualAway":{"name":"\u0027t Capproen","created":"1973-10-07","lastDate":"2025-09-20","games":547,"place":"Hellevoetsluis","rating":1186.888211748112,"rd":137.92964101219587,"rv":0.058857703068131775,"averageScore":11.844842585080823,"currentDiff":-23.731626153282605,"origins":1,"startOffset":125.25,"opponents":{}},"special":false}],"fixtures":[{"home":"Triade","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-24","pHome":0.43357230551544923,"pDraw":0.06797192467676749,"pAway":0.4984557698077833,"guessHome":14,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1094.2773745494862,"awayRating":1147.1656048392344,"homeRd":0,"awayRd":0,"special":false},{"home":"Triade","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.8415777940511757,"pDraw":0.03965682366220735,"pAway":0.11876538228661687,"guessHome":15,"guessAway":9,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1094.2773745494862,"awayRating":805.7021110417378,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Oranje Zwart (M)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5643608620086595,"pDraw":0.06916416334377035,"pAway":0.3664749746475702,"guessHome":13,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1186.888211748112,"awayRating":1147.1656048392344,"homeRd":0,"awayRd":0,"special":false},{"home":"Nikantes","away":"\u0027t Capproen","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.09948850872083825,"pDraw":0.03730742609682791,"pAway":0.8632040651823338,"guessHome":8,"guessAway":14,"homeDiff":0.0,"awayDiff":0.0,"homeRating":805.7021110417378,"awayRating":1186.888211748112,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.5843546175180492,"pDraw":0.06523166212541792,"pAway":0.35041372035653284,"guessHome":15,"guessAway":13,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1147.1656048392344,"awayRating":1094.2773745494862,"homeRd":0,"awayRd":0,"special":false},{"home":"\u0027t Capproen","away":"Triade","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.6372197225094636,"pDraw":0.06385886791417156,"pAway":0.2989214095763648,"guessHome":14,"guessAway":12,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1186.888211748112,"awayRating":1094.2773745494862,"homeRd":0,"awayRd":0,"special":false},{"home":"Oranje Zwart (M)","away":"Nikantes","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.8770474240291946,"pDraw":0.033389439845514346,"pAway":0.0895631361252911,"guessHome":16,"guessAway":9,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1147.1656048392344,"awayRating":805.7021110417378,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Triade"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":34,"against":20},"won":2,"draw":0,"lost":0}},{"team":{"name":"\u0027t Capproen"},"stats":{"penalties":{"points":0},"position":2,"points":3,"goals":{"for":41,"against":32},"won":1,"draw":1,"lost":1}},{"team":{"name":"Oranje Zwart (M)"},"stats":{"penalties":{"points":0},"position":3,"points":3,"goals":{"for":30,"against":26},"won":1,"draw":1,"lost":0}},{"team":{"name":"Nikantes"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":28,"against":55},"won":0,"draw":0,"lost":3}}]}	0.271522	0.330161	0.0	1186.888211748112	137.92964101219587	1.0E-6	1.0E-6	0.0	805.7021110417378	148.15798615460375	0.332582	0.421538	0.0	1147.1656048392344	145.50005531122397	0.395895	0.440281	0.0	1094.2773745494862	143.75377895017684
