date	pouleData	Devinco	Devinco	Devinco	Devinco	Devinco	HKC (He)	HKC (He)	HKC (He)	HKC (He)	HKC (He)	Reehorst '45	Reehorst '45	Reehorst '45	Reehorst '45	Reehorst '45	Zwaluwen (Ze)	Zwaluwen (Ze)	Zwaluwen (Ze)	Zwaluwen (Ze)	Zwaluwen (Ze)
2025-08-13	{"results":[],"fixtures":[{"home":"Reehorst \u002745","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-09-06","pHome":0.4276724077865889,"pDraw":0.05228863780707249,"pAway":0.5200389544063386,"guessHome":21,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1654.298695685338,"awayRating":1717.3699947433915,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-09-06","pHome":0.6443498095099478,"pDraw":0.05393027220969082,"pAway":0.30171991828036143,"guessHome":19,"guessAway":16,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1632.3190142106016,"awayRating":1538.7258095690881,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.35459869714512204,"pDraw":0.052127604196266164,"pAway":0.5932736986586118,"guessHome":19,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1538.7258095690881,"awayRating":1654.298695685338,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.634277691867094,"pDraw":0.05232857835287619,"pAway":0.3133937297800298,"guessHome":20,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1717.3699947433915,"awayRating":1632.3190142106016,"homeRd":0,"awayRd":0,"special":false},{"home":"Reehorst \u002745","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.5494733208700148,"pDraw":0.05153541158195085,"pAway":0.3989912675480344,"guessHome":22,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1654.298695685338,"awayRating":1632.3190142106016,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.7461342045594322,"pDraw":0.04556857827183802,"pAway":0.20829721716872973,"guessHome":20,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1717.3699947433915,"awayRating":1538.7258095690881,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.3818592846785154,"pDraw":0.058029485304575745,"pAway":0.5601112300169089,"guessHome":17,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1538.7258095690881,"awayRating":1632.3190142106016,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.6067741395514525,"pDraw":0.049741782774066545,"pAway":0.34348407767448086,"guessHome":22,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1717.3699947433915,"awayRating":1654.298695685338,"homeRd":0,"awayRd":0,"special":false},{"home":"Reehorst \u002745","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.6747755229400636,"pDraw":0.04766217017434765,"pAway":0.2775623068855887,"guessHome":22,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1654.298695685338,"awayRating":1538.7258095690881,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.3948030873867767,"pDraw":0.055944386657395095,"pAway":0.5492525259558282,"guessHome":18,"guessAway":19,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1632.3190142106016,"awayRating":1717.3699947433915,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.27372186012932065,"pDraw":0.05204761051836748,"pAway":0.6742305293523119,"guessHome":15,"guessAway":19,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1538.7258095690881,"awayRating":1717.3699947433915,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.48646510821062106,"pDraw":0.05244752640398531,"pAway":0.46108736538539363,"guessHome":21,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1632.3190142106016,"awayRating":1654.298695685338,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Zwaluwen (Ze)"},"stats":{"penalties":{"points":0},"position":1,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Reehorst \u002745"},"stats":{"penalties":{"points":0},"position":2,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"HKC (He)"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}},{"team":{"name":"Devinco"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":0,"against":0},"won":0,"draw":0,"lost":0}}]}	0.112975	0.112975	0.432545	1538.7258095690881	117.70420266736024	0.224204	0.224204	0.234935	1632.3190142106016	114.02869188684606	0.265023	0.265023	0.204436	1654.298695685338	116.30045635945693	0.397798	0.397798	0.128084	1717.3699947433915	119.00654006710813
2025-09-06	{"results":[{"home":"Reehorst \u002745","away":"Zwaluwen (Ze)","homeScore":15,"awayScore":10,"date":"2025-09-06","pHome":0.42754651384834896,"pDraw":0.052286532643109895,"pAway":0.5201669535085411,"guessHome":20,"guessAway":21,"homeDiff":30.235521997876504,"awayDiff":-30.957786724141215,"homeRating":1685.3806459036837,"awayRating":1748.4522978489988,"homeRd":154,"awayRd":155,"actualHome":{"name":"Reehorst \u002745","created":"1974-03-31","lastDate":"2025-09-06","games":715,"place":"Ede","rating":1715.6098671225457,"rd":142.833925823698,"rv":0.05831814680190039,"averageScore":23.261912218230417,"currentDiff":30.235521997876504,"origins":2,"startOffset":-13.25,"opponents":{}},"actualAway":{"name":"Zwaluwen (Ze)","created":"1941-10-05","lastDate":"2025-09-06","games":760,"place":"Zevenaar","rating":1717.488210345843,"rd":144.3303085353536,"rv":0.058196334476047704,"averageScore":18.00714284496291,"currentDiff":-30.957786724141215,"origins":1,"startOffset":-469.0,"opponents":{}},"special":false},{"home":"HKC (He)","away":"Devinco","homeScore":16,"awayScore":17,"date":"2025-09-06","pHome":0.6442537840005012,"pDraw":0.05393659024470382,"pAway":0.301809625754795,"guessHome":19,"guessAway":16,"homeDiff":-21.75635528307498,"awayDiff":23.24938267523021,"homeRating":1663.4052058089092,"awayRating":1569.8166572878197,"homeRd":149,"awayRd":154,"actualHome":{"name":"HKC (He)","created":"1915-03-14","lastDate":"2025-09-06","games":1902,"place":"Hengelo Ov","rating":1641.6425497468197,"rd":139.94165824173538,"rv":0.05579919880598461,"averageScore":18.605992343376396,"currentDiff":-21.75635528307498,"origins":1,"startOffset":45.75,"opponents":{}},"actualAway":{"name":"Devinco","created":"2004-09-04","lastDate":"2025-09-06","games":1352,"place":"Deventer","rating":1593.0597391840354,"rd":143.9207412456347,"rv":0.057735468201715975,"averageScore":15.995210044177208,"currentDiff":23.24938267523021,"origins":6,"startOffset":0.0,"opponents":{}},"special":false}],"fixtures":[{"home":"Devinco","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.3459990031594108,"pDraw":0.051942872254924,"pAway":0.6020581245856652,"guessHome":18,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1593.0597391840354,"awayRating":1715.6098671225457,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-13","pHome":0.6223942807776649,"pDraw":0.053555642725211294,"pAway":0.3240500764971238,"guessHome":20,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1717.488210345843,"awayRating":1641.6425497468197,"homeRd":0,"awayRd":0,"special":false},{"home":"Reehorst \u002745","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6221850039555072,"pDraw":0.04917269209814068,"pAway":0.3286423039463521,"guessHome":22,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1715.6098671225457,"awayRating":1641.6425497468197,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6838714976184226,"pDraw":0.05171562498346716,"pAway":0.26441287739811026,"guessHome":19,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1717.488210345843,"awayRating":1593.0597391840354,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.44552691540843714,"pDraw":0.05950847482648863,"pAway":0.4949646097650742,"guessHome":17,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1593.0597391840354,"awayRating":1641.6425497468197,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.5211237610661463,"pDraw":0.05287289875157242,"pAway":0.4260033401822812,"guessHome":21,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1717.488210345843,"awayRating":1715.6098671225457,"homeRd":0,"awayRd":0,"special":false},{"home":"Reehorst \u002745","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.6840079985499439,"pDraw":0.04717783602831638,"pAway":0.2688141654217397,"guessHome":22,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1715.6098671225457,"awayRating":1593.0597391840354,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.40801365749322915,"pDraw":0.05691291296194645,"pAway":0.5350734295448244,"guessHome":18,"guessAway":19,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1641.6425497468197,"awayRating":1717.488210345843,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.3410089617088279,"pDraw":0.057015437639236,"pAway":0.6019756006519361,"guessHome":16,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1593.0597391840354,"awayRating":1717.488210345843,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.4130092016170619,"pDraw":0.05217945790851786,"pAway":0.5348113404744202,"guessHome":20,"guessAway":22,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1641.6425497468197,"awayRating":1715.6098671225457,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Reehorst \u002745"},"stats":{"penalties":{"points":0},"position":1,"points":2,"goals":{"for":15,"against":10},"won":1,"draw":0,"lost":0}},{"team":{"name":"Devinco"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":17,"against":16},"won":1,"draw":0,"lost":0}},{"team":{"name":"HKC (He)"},"stats":{"penalties":{"points":0},"position":3,"points":0,"goals":{"for":16,"against":17},"won":0,"draw":0,"lost":1}},{"team":{"name":"Zwaluwen (Ze)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":10,"against":15},"won":0,"draw":0,"lost":1}}]}	0.195072	0.195072	0.264981	1593.0597391840354	143.9207412456347	0.124519	0.124519	0.405653	1641.6425497468197	139.94165824173538	0.450947	0.450947	0.108497	1715.6098671225457	142.833925823698	0.229462	0.229462	0.220869	1717.488210345843	144.3303085353536
2025-09-13	{"results":[{"home":"Reehorst \u002745","away":"Zwaluwen (Ze)","homeScore":15,"awayScore":10,"date":"2025-09-06","pHome":0.42754651384834896,"pDraw":0.052286532643109895,"pAway":0.5201669535085411,"guessHome":20,"guessAway":21,"homeDiff":30.235521997876504,"awayDiff":-30.957786724141215,"homeRating":1685.3806459036837,"awayRating":1748.4522978489988,"homeRd":154,"awayRd":155,"actualHome":{"name":"Reehorst \u002745","created":"1974-03-31","lastDate":"2025-09-13","games":716,"place":"Ede","rating":1719.8512812371125,"rd":136.34776504103314,"rv":0.05831511541850285,"averageScore":23.037039683266258,"currentDiff":34.41684279037099,"origins":2,"startOffset":-13.25,"opponents":{}},"actualAway":{"name":"Zwaluwen (Ze)","created":"1941-10-05","lastDate":"2025-09-13","games":761,"place":"Zevenaar","rating":1692.6213853066988,"rd":137.65184572279102,"rv":0.058194055571870046,"averageScore":17.644933956927293,"currentDiff":-55.88470508535784,"origins":1,"startOffset":-469.0,"opponents":{}},"special":false},{"home":"HKC (He)","away":"Devinco","homeScore":16,"awayScore":17,"date":"2025-09-06","pHome":0.6442537840005012,"pDraw":0.05393659024470382,"pAway":0.301809625754795,"guessHome":19,"guessAway":16,"homeDiff":-21.75635528307498,"awayDiff":23.24938267523021,"homeRating":1663.4052058089092,"awayRating":1569.8166572878197,"homeRd":149,"awayRd":154,"actualHome":{"name":"HKC (He)","created":"1915-03-14","lastDate":"2025-09-13","games":1903,"place":"Hengelo Ov","rating":1665.1248572983075,"rd":133.98365190436294,"rv":0.055797194387741535,"averageScore":18.463980016022113,"currentDiff":1.6658589463404496,"origins":1,"startOffset":45.75,"opponents":{}},"actualAway":{"name":"Devinco","created":"2004-09-04","lastDate":"2025-09-13","games":1353,"place":"Deventer","rating":1588.8964161987874,"rd":137.16928265195776,"rv":0.05773252550405261,"averageScore":15.741824160783018,"currentDiff":19.02596636790986,"origins":6,"startOffset":0.0,"opponents":{}},"special":false},{"home":"Devinco","away":"Reehorst \u002745","homeScore":13,"awayScore":16,"date":"2025-09-13","pHome":0.3459414135249653,"pDraw":0.05194022037923707,"pAway":0.6021183660957976,"guessHome":18,"guessAway":21,"homeDiff":-4.223416307320349,"awayDiff":4.181320792494489,"homeRating":1593.040322002616,"awayRating":1715.5904499411263,"homeRd":146,"awayRd":145,"actualHome":{"name":"Devinco","created":"2004-09-04","lastDate":"2025-09-13","games":1353,"place":"Deventer","rating":1588.8964161987874,"rd":137.16928265195776,"rv":0.05773252550405261,"averageScore":15.741824160783018,"currentDiff":19.02596636790986,"origins":6,"startOffset":0.0,"opponents":{}},"actualAway":{"name":"Reehorst \u002745","created":"1974-03-31","lastDate":"2025-09-13","games":716,"place":"Ede","rating":1719.8512812371125,"rd":136.34776504103314,"rv":0.05831511541850285,"averageScore":23.037039683266258,"currentDiff":34.41684279037099,"origins":2,"startOffset":-13.25,"opponents":{}},"special":false},{"home":"Zwaluwen (Ze)","away":"HKC (He)","homeScore":12,"awayScore":14,"date":"2025-09-13","pHome":0.6223310594200634,"pDraw":0.05355905819065421,"pAway":0.3241098823892824,"guessHome":20,"guessAway":17,"homeDiff":-24.92691836121662,"awayDiff":23.42221422941543,"homeRating":1717.4687931644237,"awayRating":1641.6231325654003,"homeRd":147,"awayRd":142,"actualHome":{"name":"Zwaluwen (Ze)","created":"1941-10-05","lastDate":"2025-09-13","games":761,"place":"Zevenaar","rating":1692.6213853066988,"rd":137.65184572279102,"rv":0.058194055571870046,"averageScore":17.644933956927293,"currentDiff":-55.88470508535784,"origins":1,"startOffset":-469.0,"opponents":{}},"actualAway":{"name":"HKC (He)","created":"1915-03-14","lastDate":"2025-09-13","games":1903,"place":"Hengelo Ov","rating":1665.1248572983075,"rd":133.98365190436294,"rv":0.055797194387741535,"averageScore":18.463980016022113,"currentDiff":1.6658589463404496,"origins":1,"startOffset":45.75,"opponents":{}},"special":false}],"fixtures":[{"home":"Reehorst \u002745","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.5945295606737796,"pDraw":0.05068161366676904,"pAway":0.35478882565945136,"guessHome":22,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1719.8512812371125,"awayRating":1665.1248572983075,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-09-20","pHome":0.6563091390005815,"pDraw":0.05435926547856079,"pAway":0.28933159552085774,"guessHome":18,"guessAway":15,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1692.6213853066988,"awayRating":1588.8964161987874,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"HKC (He)","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.4050163029526159,"pDraw":0.05922260237221422,"pAway":0.5357610946751699,"guessHome":17,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1588.8964161987874,"awayRating":1665.1248572983075,"homeRd":0,"awayRd":0,"special":false},{"home":"Zwaluwen (Ze)","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-09-27","pHome":0.4777021886948649,"pDraw":0.05373185963276028,"pAway":0.4685659516723748,"guessHome":20,"guessAway":20,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1692.6213853066988,"awayRating":1719.8512812371125,"homeRd":0,"awayRd":0,"special":false},{"home":"Reehorst \u002745","away":"Devinco","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.6929586262102799,"pDraw":0.04685643994951039,"pAway":0.2601849338402097,"guessHome":21,"guessAway":17,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1719.8512812371125,"awayRating":1588.8964161987874,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-10-04","pHome":0.47511422261883063,"pDraw":0.058138911675181815,"pAway":0.46674686570598756,"guessHome":18,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1665.1248572983075,"awayRating":1692.6213853066988,"homeRd":0,"awayRd":0,"special":false},{"home":"Devinco","away":"Zwaluwen (Ze)","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.36689235910550644,"pDraw":0.05887220797511916,"pAway":0.5742354329193744,"guessHome":16,"guessAway":18,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1588.8964161987874,"awayRating":1692.6213853066988,"homeRd":0,"awayRd":0,"special":false},{"home":"HKC (He)","away":"Reehorst \u002745","homeScore":-1,"awayScore":-1,"date":"2025-10-11","pHome":0.43869178265386854,"pDraw":0.05290077816951122,"pAway":0.5084074391766202,"guessHome":20,"guessAway":21,"homeDiff":0.0,"awayDiff":0.0,"homeRating":1665.1248572983075,"awayRating":1719.8512812371125,"homeRd":0,"awayRd":0,"special":false}],"standing":[{"team":{"name":"Reehorst \u002745"},"stats":{"penalties":{"points":0},"position":1,"points":4,"goals":{"for":31,"against":23},"won":2,"draw":0,"lost":0}},{"team":{"name":"Devinco"},"stats":{"penalties":{"points":0},"position":2,"points":2,"goals":{"for":30,"against":32},"won":1,"draw":0,"lost":1}},{"team":{"name":"HKC (He)"},"stats":{"penalties":{"points":0},"position":3,"points":2,"goals":{"for":30,"against":29},"won":1,"draw":0,"lost":1}},{"team":{"name":"Zwaluwen (Ze)"},"stats":{"penalties":{"points":0},"position":4,"points":0,"goals":{"for":22,"against":29},"won":0,"draw":0,"lost":2}}]}	0.105145	0.105145	0.362401	1588.8964161987874	137.16928265195776	0.211824	0.211824	0.217308	1665.1248572983075	133.98365190436294	0.598047	0.598047	0.046851	1719.8512812371125	136.34776504103314	0.084984	0.084984	0.37344	1692.6213853066988	137.65184572279102
