	Amsterdam Zuid	Oosterkwartier (H)	3	4
	Hespa	Vogel	5	2
	KVD	Watervliet	4	6
	MEO	Wittenburg	5	8
	Altius	ZKV (Za)	6	7
	Aurora	KCN	5	8
	DVD²	Landlust	4	8
	Amersfoort	Victoria (A)	0	3
	Animo Ready	Oosterpark	13	1
	BIKO	Fortuna (A)	7	1
	OKV	Excelsior	8	6
	Sport Vereent	Zwaluwen (H)	5	5
	De Tovers	Oosthoek	8	2
	OBZB	SKV (U)	7	8
	Hou Stand	Actief (R)	3	6
	Swift (M)	Ons Huis (R)	7	4
	Achilles (A)	Steeds Hooger	6	6
	Noviomagum	ONI (A)	3	9
	EKCA	't Overschotje	5	5
	Oost Arnhem	Mercedes	5	2
	OWK	Rohda (H)	4	1
	NKC (No)	Club Brothers	6	3
	VIOS (Ni)	Forward	5	10
	Dio	KIOS (R)	5	4
	Kinea (K)	Samen Een	5	3
	Odis (E)	WWMD	3	8
	Luxia	AKC (Ak)	5	5
	Leeuwarden	Blauw Wit (H)	3	3
	Quick '21	Drachten	6	5
	BKC³	Volt	0	1
	Olympia '47	Oisterwijk	6	2
	ALO	Spartaan	4	4
	Tjoba	Morskwartier	12	3
	DKC (De)	Danaiden	4	5
	GKV	Velox	7	7
	Phoenix (Z)	Schiedam	11	3
	Raven	KNS	5	7
	Crescendo	TOV (D)	5	4
	Achilles (H)	USV	11	4
	WION	Unicum	6	3
	Pams	Trekvogels (R)	4	8
	UNA (L)	Zunobri²	10	2
	ODA	HDT	1	6
	Leonidas²	DOS '46	4	3
	ZKC '19	Halen	6	8
	Moedig Voorwaarts	Advendo (TI)	4	4
	De Pein	Altijd Kwiek	8	5
	Wez Warber	Dow	5	7
1961-10-01	Blauw Wit	DOS (E)	4	4
	Westerkwartier	LUTO	5	4
	Swift	AW	7	5
	WK	SVK	6	6
	Rohda (A)	Archipel	4	6
	Rigtersbleek	Deetos	4	5
	ZKC (Zu)	Regenboog	9	5
	Vicus Orientis	Die Haghe	5	8
	Zuiden (R)	Deto	9	6
	HKV	Ons Eibernest	9	7
	BEP	ZKC '31	12	8
	DED	SAMOS	4	6
	DTV	Olympia (B)	2	2
	DDV	KZ	4	7
	Algemene	ODO²	3	3
	Sperwers	Zwervers	8	2
	Fluks	Quick (D)	6	4
	VADA	SOS	6	5
	Onder Ons	Naas²	3	5
	Amicitia (V)	AKC (Al)	3	7
	Rapiditas	HKC (He)	4	4
	De Hoeve	Sparta (W)	2	7
	Stanfries²	Asko	14	10
	Friso (L)	VKC (S)	6	3
	LDO	Hermes (G)	5	7
	RWB	Organon	1	2
	OEC	Eindhoven	6	6
	Sportlust	PSV	12	8
	Oosterkwartier (H)	Hespa	10	6
	Nieuw Flora	MEO	8	13
	Watervliet	Amsterdam Zuid	13	3
	Wittenburg	KVD	3	5
	Haarlem	Aurora	7	2
	Victoria (A)	DVD²	3	10
	ZKV (Za)	Amersfoort	10	2
	Zaandam Zuid	Sport Vereent	7	11
	BIKO	Animo Ready	6	4
	Oosterpark	OKV	4	7
	Zwaluwen (H)	Oosthoek	8	7
	Excelsior	OBZB	5	3
	De Tovers	SKV (U)	3	2
	HSV	Merwede (D)	7	1
	Charlois	Eureka	2	6
	Zuiderkwartier (L)	Swift (M)	4	5
	Ons Huis (R)	Hou Stand	5	3
	Steeds Hooger	Hellas	8	1
	't Overschotje	Noviomagum	3	2
	Club Brothers	UNI (S)	5	4
	Nic	NKC (No)	2	2
	Forward	Odis (E)	6	7
	Dio	SCO	4	4
	WWMD	VIOS (Ni)	13	2
	KIOS (R)	Samen Een	4	0
	Blauw Wit (H)	Wez Fluch	2	3
	Quick '21	Luxia	5	1
	OKO	Drachten	8	2
	Ready '60	Stormvogels (G)	3	9
	Volt	Oranje Wit (T)	2	4
	Schiedam	GKV	11	13
	Velox	DKC (De)	6	6
	Danaiden	Tjoba	10	8
	Morskwartier	ALO	6	11
	Trekvogels (R)	WION	2	4
	Unicum	Achilles (H)	1	4
	USV	Crescendo	4	8
	TOV (D)	Raven	6	7
	HPV	Succes	5	4
	Hillegersberg	Hoogvliet	1	7
	Noord Oosten	HDT	4	5
	Oerterp	ODA	9	3
	DOS '46	Moedig Voorwaarts	2	7
	Advendo (TI)	Leonidas²	3	4
	Halen	MKC (Me)	5	4
	Dow	Altijd Kwiek	7	3
1961-10-08	RODA (W)	Rohda (A)	2	4
	Archipel	SVK	9	4
	Swift	WK	5	6
	AW	Westerkwartier	4	8
	LUTO	Blauw Wit	5	6
	Spangen	HKV	1	4
	Ons Eibernest	Zuiden (R)	5	3
	Deto	Vicus Orientis	8	6
	Die Haghe	ZKC (Zu)	8	5
	Regenboog	Rigtersbleek	3	2
	Groen Geel	DTV	7	4
	Olympia (B)	BEP	6	3
	SAMOS	DDV	10	3
	ZKC '31	DED	6	11
	Fluks	Sperwers	2	4
	Zwervers	Ready (H)	5	3
	ODO²	Rozenburg	8	4
	Groen Zwart	Onder Ons	5	0
	SOS	HKC (He)	4	1
	AKC (Al)	Rapiditas	4	1
	Naas²	VADA	4	5
	VKC (S)	LDO	6	3
	Sparta (W)	Friso (L)	3	4
	Stanfries²	Hermes (G)	6	6
	Eindhoven	Organon	9	2
	PSV	RWB	9	1
	Amsterdam Zuid	Wittenburg	5	3
	Hespa	Watervliet	5	5
	KVD	Nieuw Flora	8	8
	Vogel	Oosterkwartier (H)	4	4
	Altius	Haarlem	5	9
	Amersfoort	KCN	1	8
	DVD²	ZKV (Za)	6	5
	Landlust	Victoria (A)	6	2
	Zaandam Zuid	Zwaluwen (H)	6	5
	SKV (U)	Sport Vereent	10	5
	Oosthoek	Fortuna (A)	2	5
	Animo Ready	De Tovers	5	4
	Oosterpark	Excelsior	2	2
	OKV	BIKO	6	3
	Hou Stand	Olympiaan	5	4
	Achilles (A)	Wit Blauw	7	1
	ONI (A)	't Overschotje	4	2
	EKCA	Mercedes	6	0
	Oranje Wit (T)	BKC³	12	0
	Spartaan	Morskwartier	4	8
	ALO	Danaiden	5	8
	Phoenix (Z)	GKV	5	3
	KNS	TOV (D)	7	4
	Raven	USV	5	3
	Crescendo	Unicum	4	8
	Achilles (H)	Trekvogels (R)	4	4
	WION	Morgenstond	6	2
	Leeuwarden	AKC (Ak)	4	5
	Wez Fluch	OKO	1	2
	Luxia	Drachten	4	6
	Zunobri²	Korulos	1	1
	HDT	Oerterp	3	9
	ODA	Noord Oosten	4	5
	DOS '46	Advendo (TI)	5	4
	Rood Wit	Halen	1	9
	ZKC '19	MKC (Me)	5	6
	Moedig Voorwaarts	Odival	5	1
1961-10-15	DOS (E)	LUTO	3	3
	Blauw Wit	AW	2	3
	Westerkwartier	WK	7	6
	SVK	RODA (W)	7	9
	Swift	Archipel	3	5
	Deetos	Deto	6	5
	HKV	Rigtersbleek	6	8
	Spangen	Zuiden (R)	4	6
	ZKC (Zu)	Ons Eibernest	7	8
	Vicus Orientis	Regenboog	10	3
	BEP	Groen Geel	4	11
	DED	Olympia (B)	8	2
	DDV	ZKC '31	7	8
	KZ	SAMOS	9	7
	Zwervers	Algemene	3	3
	Ready (H)	Fluks	4	9
	Sperwers	Quick (D)	4	4
	VADA	AKC (Al)	3	5
	Onder Ons	HKC (He)	5	8
	Amicitia (V)	Naas²	4	5
	Groen Zwart	SOS	5	5
	Stanfries²	De Hoeve	9	3
	Vitesse (Be)	VKC (S)	4	2
	Hermes (G)	Sparta (W)	7	4
	Friso (L)	LDO	5	2
	Sportlust	Rust Roest (E)	8	2
	Odilo	OEC	0	2
	Organon	PSV	1	5
	MEO	KVD	7	4
	Nieuw Flora	Amsterdam Zuid	7	6
	Watervliet	Vogel	8	5
	Aurora	Altius	9	5
	Haarlem	Amersfoort	11	3
	KCN	DVD²	6	2
	ZKV (Za)	Landlust	3	6
	Fortuna (A)	SKV (U)	6	5
	Zwaluwen (H)	Animo Ready	7	8
	Oosterpark	Zaandam Zuid	4	2
	Oosthoek	Excelsior	3	7
	Sport Vereent	OBZB	5	7
	De Tovers	OKV	8	4
	HSV	Eureka	3	5
	Charlois	OSCR	2	8
	Actief (R)	Zuiderkwartier (L)	6	6
	Mercedes	Noviomagum	5	4
	Emmen	OWK	3	9
	NKC (No)	Rohda (H)	3	1
	Kinea (K)	Dio	5	2
	Samen Een	Forward	3	9
	SCO	WWMD	8	4
	OKO	Leeuwarden	5	2
	Blauw Wit (H)	AKC (Ak)	1	3
	Drachten	Wez Fluch	5	4
	Oisterwijk	Blauw Wit (R)	4	1
	DKC (De)	GKV	5	8
	Schiedam	Tjoba	6	16
	Velox	ALO	6	7
	Danaiden	Spartaan	10	4
	Morskwartier	Phoenix (Z)	3	6
	Pams	WION	2	8
	Morgenstond	Achilles (H)	3	5
	Trekvogels (R)	Crescendo	3	3
	Unicum	Raven	6	5
	USV	KNS	2	7
	Korulos	ODA	5	3
	Noord Oosten	Zunobri²	5	1
	Oerterp	UNA (L)	4	5
	Leonidas²	Moedig Voorwaarts	5	8
	ZKC '19	Rood Wit	14	1
	MKC (Me)	DOS '46	1	4
	Odival	Halen	3	8
	SIM	Altijd Kwiek	8	4
1961-10-22	Rohda (A)	SVK	7	3
	RODA (W)	Swift	4	4
	Archipel	Westerkwartier	3	4
	WK	Blauw Wit	6	5
	AW	DOS (E)	6	1
	Rigtersbleek	Die Haghe	6	3
	Deetos	Spangen	7	6
	Ons Eibernest	Vicus Orientis	6	4
	Zuiden (R)	ZKC (Zu)	6	4
	HKV	Regenboog	10	7
	DTV	BEP	3	3
	Groen Geel	DED	6	2
	Olympia (B)	DDV	3	7
	Sperwers	Ready (H)	7	1
	Fluks	Algemene	2	1
	Rozenburg	Zwervers	3	2
	Quick (D)	ODO²	6	7
	Rapiditas	Amicitia (V)	9	5
	HKC (He)	AKC (Al)	7	9
	Naas²	SOS	2	6
	Groen Zwart	VADA	5	4
	Asko	Sparta (W)	9	3
	Vitesse (Be)	Stanfries²	1	5
	VKC (S)	De Hoeve	4	4
	Hermes (G)	Friso (L)	6	1
	PSV	Eindhoven	1	6
	OEC	Rust Roest (E)	6	0
	RWB	Odilo	3	4
	Amsterdam Zuid	MEO	4	6
	Hespa	Nieuw Flora	8	3
	Vogel	Wittenburg	7	4
	Oosterkwartier (H)	Watervliet	8	8
	Amersfoort	Aurora	1	5
	DVD²	KCN	2	2
	Victoria (A)	ZKV (Za)	3	6
	Oosterpark	BIKO	6	4
	OBZB	Animo Ready	7	11
	SKV (U)	Oosthoek	7	6
	Zwaluwen (H)	De Tovers	11	10
	Excelsior	Zaandam Zuid	8	3
	Eureka	Merwede (D)	12	4
	Zuiderkwartier (L)	Ons Huis (R)	7	1
	ONI (A)	Mercedes	4	2
	EKCA	Oost Arnhem	6	4
	Nic	Emmen	8	2
	OWK	NKC (No)	8	6
	Odis (E)	VIOS (Ni)	9	6
	WWMD	Samen Een	11	3
	SCO	Kinea (K)	2	3
	AKC (Ak)	Quick '21	4	6
	Drachten	Leeuwarden	5	4
	Luxia	Blauw Wit (H)	3	5
	BKC³	Oisterwijk	7	3
	Oranje Wit (T)	BKC³	10	8
	Morskwartier	Danaiden	1	7
	Spartaan	Velox	3	6
	ALO	Schiedam	9	1
	Tjoba	GKV	6	4
	Phoenix (Z)	DKC (De)	5	5
	TOV (D)	USV	4	2
	KNS	Unicum	6	4
	Crescendo	Morgenstond	5	3
	Achilles (H)	Pams	5	3
	HPV	Zwaluwen (He)	6	5
	Noord Oosten	Oerterp	3	7
	DOS '46	ZKC '19	3	2
	Odival	Leonidas²	6	2
	Halen	SIOS (W)	5	4
	Dow	SIM	3	3
1961-10-29	LUTO	AW	5	7
	DOS (E)	WK	4	4
	Blauw Wit	Archipel	10	6
	Westerkwartier	RODA (W)	9	5
	Swift	Rohda (A)	4	10
	Deto	Rigtersbleek	4	5
	Die Haghe	Deetos	5	4
	Vicus Orientis	Spangen	2	1
	ZKC (Zu)	HKV	10	6
	Regenboog	Ons Eibernest	8	9
	DED	DTV	9	6
	DDV	Groen Geel	2	6
	SAMOS	ZKC '31	8	4
	Rozenburg	Fluks	3	3
	Algemene	Sperwers	7	7
	Ready (H)	Quick (D)	2	12
	VADA	Onder Ons	5	3
	HKC (He)	Naas²	6	1
	SOS	AKC (Al)	6	3
	Rapiditas	Groen Zwart	4	3
	Friso (L)	Stanfries²	4	6
	Asko	Hermes (G)	6	4
	De Hoeve	Vitesse (Be)	7	7
	RWB	Sportlust	2	11
	PSV	OEC	9	4
	Rust Roest (E)	Organon	1	4
	Eindhoven	Odilo	9	3
	MEO	Hespa	7	6
	KVD	Amsterdam Zuid	7	4
	Wittenburg	Oosterkwartier (H)	6	4
	Altius	Amersfoort	8	2
	Aurora	DVD²	7	6
	KCN	Victoria (A)	6	8
	BIKO	SKV (U)	3	5
	Fortuna (A)	De Tovers	7	7
	OBZB	Zwaluwen (H)	5	8
	Sport Vereent	Excelsior	2	9
	HSV	OSCR	3	5
	Olympiaan	Zuiderkwartier (L)	2	4
	Hellas	Achilles (A)	4	5
	Oost Arnhem	Noviomagum	4	1
	't Overschotje	Mercedes	3	1
	Club Brothers	Emmen	5	6
	Rohda (H)	UNI (S)	3	4
	OWK	Nic	2	10
	Samen Een	VIOS (Ni)	7	4
	Dio	Odis (E)	8	4
	WWMD	Kinea (K)	3	3
	Drachten	AKC (Ak)	6	3
	Luxia	OKO	4	6
	Blauw Wit (H)	Quick '21	4	5
	BKC³	Blauw Wit (R)	0	2
	Oisterwijk	DHJ	3	2
	HDT	Zunobri²	3	1
	Korulos	Noord Oosten	4	4
	Halen	Advendo (TI)	4	2
	Rood Wit	DOS '46	2	5
	ZKC '19	Leonidas²	6	5
	MKC (Me)	Odival	3	8
	SIOS (W)	Moedig Voorwaarts	5	4
	Tjoba	DKC (De)	6	6
	GKV	ALO	6	4
	Schiedam	Spartaan	8	10
	Velox	Morskwartier	7	3
	Danaiden	Phoenix (Z)	4	8
	WION	Achilles (H)	6	6
	Pams	Crescendo	3	9
	Trekvogels (R)	KNS	2	10
	Unicum	TOV (D)	3	2
1961-11-05	RODA (W)	Blauw Wit	7	3
	Rigtersbleek	Zuiden (R)	5	4
	Sperwers	Rozenburg	11	1
	Rapiditas	VADA	7	2
	HKC (He)	SOS	7	6
	Asko	De Hoeve	6	1
	Eindhoven	Sportlust	7	7
	Odilo	PSV	2	9
	De Tovers	Sport Vereent	11	2
	Zwaluwen (H)	BIKO	8	3
	Hellas	Steeds Hooger	3	4
	NKC (No)	Emmen	4	2
	Dio	Forward	6	4
	Kinea (K)	VIOS (Ni)	3	3
	WWMD	KIOS (R)	11	4
	SCO	Odis (E)	6	2
	OKO	Quick '21	3	3
	Odival	Advendo (TI)	3	7
	SIOS (W)	DOS '46	5	3
	Rood Wit	MKC (Me)	4	13
	Moedig Voorwaarts	ZKC '19	2	2
	De Pein	Wez Warber	6	5
1961-11-12	WK	AW	2	2
	LUTO	Archipel	5	3
	DOS (E)	RODA (W)	4	3
	Blauw Wit	Rohda (A)	6	2
	Westerkwartier	SVK	13	5
	Zuiden (R)	Regenboog	5	1
	Deetos	Vicus Orientis	4	3
	ZKC (Zu)	Spangen	3	5
	Ons Eibernest	Rigtersbleek	3	3
	DED	BEP	9	4
	DTV	DDV	2	6
	Olympia (B)	SAMOS	3	5
	Ready (H)	Rozenburg	3	5
	Algemene	Quick (D)	5	7
	VADA	Amicitia (V)	6	6
	Naas²	AKC (Al)	2	6
	Rapiditas	Onder Ons	8	2
	Vitesse (Be)	Asko	4	5
	De Hoeve	Stanfries²	5	9
	VKC (S)	Sparta (W)	4	3
	Organon	Sportlust	2	5
	RWB	Rust Roest (E)	3	5
	Amsterdam Zuid	Vogel	3	4
	KVD	Oosterkwartier (H)	3	9
	MEO	Watervliet	6	4
	Hespa	Wittenburg	3	4
	DVD²	Amersfoort	9	1
	ZKV (Za)	KCN	8	8
	Landlust	Altius	5	4
	Victoria (A)	Aurora	5	4
	Animo Ready	SKV (U)	8	5
	BIKO	De Tovers	1	3
	Zwaluwen (H)	Excelsior	6	4
	Charlois	HSV	2	3
	Ons Huis (R)	Actief (R)	7	5
	Hou Stand	Swift (M)	4	4
	Noviomagum	EKCA	1	5
	't Overschotje	Oost Arnhem	2	4
	OWK	Club Brothers	2	3
	WWMD	Forward	6	2
	KIOS (R)	Kinea (K)	3	1
	Samen Een	Odis (E)	4	0
	VIOS (Ni)	SCO	3	6
	Blauw Wit (H)	Leeuwarden	7	4
	AKC (Ak)	Wez Fluch	2	2
	Drachten	Quick '21	3	4
	ODA	Oerterp	3	10
	Zunobri²	UNA (L)	1	7
