2022-09-10,Tiel '72,Achilles (A),23,14
2022-09-10,ONDO (M),Movado,21,12
2022-09-10,Fortis,ALO,15,15
2022-09-10,DKB,Keizer Karel,17,16
2022-09-10,Emmeloord,Spannum,18,17
2022-09-10,Sporting Delta,Avanti (P),14,17
2022-09-10,RWA,DVS '69,17,10
2022-09-10,Gemini,DSO (K),12,13
2022-09-10,Tempo,DOS (W),18,17
2022-09-10,Udiros,Club Brothers,22,10
2022-09-10,Terda,Focus,12,13
2022-09-10,HKV / Ons Eibernest,Refleks,16,17
2022-09-10,Excelsior (D),Swift (M),19,13
2022-09-10,Erasmus,TOGO (G),19,12
2022-09-10,KIOS (N),IJsselvogels,14,14
2022-09-10,VIKO,DWS (K),8,9
2022-09-10,ZKC '31,MIA,13,21
2022-09-10,Rivalen,Elko,10,14
2022-09-10,DOS Kampen,De Wâlden,17,17
2022-09-10,Fortuna (D),Blauw Wit,11,9
2022-09-10,SGV,De Corvers,13,9
2022-09-10,OEC,Springfield,19,9
2022-09-10,IFC '25,VDDO,21,14
2022-09-10,Thrianta,SIOS (W),25,14
2022-09-10,Dalto,Unitas,18,10
2022-09-10,Oranje Zwart (M),Keep Fit '70,9,17
2022-09-10,Fiks,HKC (Ha),18,22
2022-09-10,Westergo,DTL,8,16
2022-09-10,EKVA,Oosterkwartier (H),17,17
2022-09-10,Olympia (S),Thor (H),7,11
2022-09-10,Wit Blauw,Drachten,16,15
2022-09-10,Sparta (Zw),NKC '51,16,16
2022-09-10,KCR,Nieuwerkerk,18,12
2022-09-10,Luno,Wolderwijd,22,10
2022-09-10,Heerenveen,Ritola,24,14
2022-09-10,RDZ,SEV (Z),24,8
2022-09-10,Oranje Nassau,Zaandam Zuid,7,8
2022-09-10,Zunobri,Wez Warber en Fluch,13,9
2022-09-10,ONDO (G),Valto,11,18
2022-09-10,HHV,Woudenberg,16,19
2022-09-10,Furore,Fortissimo,11,8
2022-09-10,Ons Clubje,Vakgericht,10,14
2022-09-10,KVW '22,ZKC '19,17,26
2022-09-10,EKC 2000,Leonidas²,26,13
2022-09-10,Telstar,Nova,12,17
2022-09-10,DSC,LDODK,14,18
2022-09-10,GKV (G),KOAG,16,16
2022-09-10,VEO,Oranje Wit (D),18,8
2022-09-10,Quick '21 / Vlug en Vaardig (G),OKO,13,22
2022-09-10,Vitesse (Be),Olympia '22,13,14
2022-09-10,De Meervogels,DeetosSnel,16,19
2022-09-10,Achilles (H),DES (De),11,13
2022-09-10,Stip,De Hazenkamp,11,15
2022-09-10,Lintjo,Blauw Zwart,17,19
2022-09-10,Reehorst '45,Kesteren,21,8
2022-09-10,Rapid (H),Phoenix (Z),10,16
2022-09-10,Exakwa,ZKV (Za),18,22
2022-09-10,NRC '22,ODIK,15,19
2022-09-10,Revival,SkunK,12,10
2022-09-10,Koveni,OJC '98,12,11
2022-09-10,WIK '34,Pallas '08,12,15
2022-09-10,Dindoa,Die Haghe,14,29
2022-09-10,Merwede,Vitesse (Ba),15,11
2022-09-10,Noordenveld,KIOS (R),14,25
2022-09-10,Juventa,Amicitia (V),15,14
2022-09-10,SKV (S),Voltreffers (O),12,14
2022-09-10,De Hoeve,Oerterp,14,15
2022-09-10,Rheko,Oranje Zwart,16,22
2022-09-10,DKV Victoria,Purmer,19,4
2022-09-10,WSS,Kinea (K),14,14
2022-09-10,ODO (M),KZ Danaiden,12,7
2022-09-10,Velocitas (L),Maassluis,21,12
2022-09-10,NIO,Conventus,25,15
2022-09-10,Regio '72,SDO (S),18,10
2022-09-10,Korbatjo,Atlas,8,15
2022-09-10,Stormvogels (U),HBC (Be),8,13
2022-09-10,Aurora,OKV,15,13
2022-09-10,DOS '46,TOP (S),28,12
2022-09-10,Trekvogels (R),Paal Centraal,16,9
2022-09-10,Seolto,ACKC,17,22
2022-09-10,Dijkvogels,Korbis,15,17
2022-09-10,Vlug en Vaardig (A),Triaz,21,16
2022-09-10,SCO,Groen Geel,16,26
2022-09-10,Nexus,Reeuwijk,20,19
2022-09-10,Elburg,Duko,21,16
2022-09-10,Oost Arnhem,PKC,18,29
