2023-09-09,Roreko,Noveas,10,9
2023-09-09,SDO (S),Vitesse (Be),11,14
2023-09-09,Zunobri,Stadskanaal '74,11,16
2023-09-09,NQL,WIK '34,6,16
2023-09-09,MN en W,Veenwouden,19,10
2023-09-09,Harich,Westergo,12,11
2023-09-09,De Waterpoort,DTG,11,16
2023-09-09,Ons Clubje,Vakgericht,10,13
2023-09-09,KIOS '45,TOP (V),16,14
2023-09-09,Wesstar,SkunK,12,17
2023-09-09,SEV (Z),Rivalen,13,16
2023-09-09,Triaz,Hebbes,6,15
2023-09-09,SGV,De Corvers,18,12
2023-09-09,Oranje Nassau,Zaandam Zuid,12,13
2023-09-09,ESDO,Vlug en Vaardig (A),16,9
2023-09-09,Stormvogels (U),Ados,5,7
2023-09-09,Purmer,DKV (IJ),12,17
2023-09-09,Paal Centraal,Conventus,21,8
2023-09-09,Sperwers,Olympia (S),10,15
2023-09-09,ZKV (Zu),SKV (S),10,6
2023-09-09,Triade,Ten Donck,19,7
2023-09-09,Springfield,Focus,10,10
2023-09-09,Oranje Zwart (M),Terda,11,8
2023-09-09,Melmac,Voltreffers (O),14,10
2023-09-09,OJC '98,OEC,19,10
2023-09-09,EKC 2000,Centrum,23,12
2023-09-09,Wiko,Diderna,5,11
2023-09-10,Blauw Wit,Groen Geel,20,5
2023-09-10,Vefo,Moedig Voorwaarts,10,18
2023-09-10,Mariarade,KVS '17,8,12
2023-09-16,SCO,Sparta (Zw),23,13
2023-09-16,DOS (W),DOS '46,15,23
2023-09-16,Spirit (Vo),Unitas,16,20
2023-09-16,Wageningen,Oost Arnhem,20,22
2023-09-16,DSC,DVO,19,28
2023-09-16,KVA,Fiks,10,23
2023-09-16,KZ,Dalto,29,15
2023-09-16,Tempo,Blauw Wit,12,28
2023-09-16,Groen Geel,AW.DTV,18,17
2023-09-16,KVS,Fortuna (D),18,26
2023-09-16,TOP (S),Avanti (P),15,10
2023-09-16,Die Haghe,KCC,15,13
2023-09-16,Valto,HKC (Ha),22,22
2023-09-16,DeetosSnel,PKC,15,33
2023-09-16,TOP (A),Sporting Delta,15,13
2023-09-16,Ritola,OKO,13,18
2023-09-16,AVO,Nic,10,12
2023-09-16,Wit Blauw,Heerenveen,19,21
2023-09-16,ZKC '19,CSL,26,33
2023-09-16,Dindoa,NKC '51,12,15
2023-09-16,MIA,Synergo,15,11
2023-09-16,Antilopen,ODIK,21,12
2023-09-16,SDO (K),BEP,14,14
2023-09-16,OVVO,Rohda (A),14,12
2023-09-16,Velocitas (L),De Meervogels,21,25
2023-09-16,VEO,Pernix,13,18
2023-09-16,GKV (G),Nieuwerkerk,13,14
2023-09-16,ONDO (G),Excelsior (D),12,18
2023-09-16,Tilburg,ONDO (M),22,20
2023-09-16,Swift (M),KOAG,11,14
2023-09-16,Flamingo's (B),Wez Handich,13,9
