1917-09-09 ODIS,-24.0,0.0
1917-09-09 UDI,-600.0,0.0
1917-09-09 WKC (Wo),-106.0,0.0
1917-09-16 Friso (L),894.5,0.0
1917-09-30 Jong Holland,17.5,0.0
1917-10-07 Delden,339.75,0.0
1917-10-14 Friso (H),-75.0,0.0012875092434114777
1917-10-14 Sparta (A),196.5,0.0017512912745587528
1917-10-14 Stanfries,54.75,0.0019635152857517824
1917-10-14 VOS,-129.75,2.6782781787915155E-4
1917-10-21 Ready (A),49.75,0.0
1917-10-21 Rood Wit (H),242.25,0.0
1917-10-21 TOGO (H),-280.0,0.0
1917-10-28 MKC (Me),-85.0,0.0
1917-11-04 DDV,-21.5,0.001319812006840948
1917-11-04 HW,-48.5,0.0
1917-12-09 Steeds Voorwaarts,-156.0,0.009750741919560824
1917-12-09 Zeelandia,-50.0,0.0
1917-12-16 Mercedes,34.75,0.0
1917-12-23 HBS (G),50.0,0.0
1918-05-05 HHD,41.0,0.0
1918-05-19 RODA (W),-203.5,0.0
1918-05-19 Six Semper,-120.0,0.0
1918-07-07 Sparta (V),-88.0,0.0
1918-07-07 VTV,-256.0,1.8280479707755148E-4
1918-08-18 THOR (S),-285.0,0.0
1918-08-18 TKC (T),593.5,0.0
1918-08-25 Luctor et Emergo,643.25,3.1601666705682874E-6
1918-09-01 AKC (Aa),358.0,0.0
1918-09-15 HSL,-187.75,0.0
1918-09-15 Juliana (G),-615.75,0.0
1918-09-15 Voorwaarts (M),-45.25,5.510966439032927E-4
1918-09-22 Venetas,206.0,0.0
1918-09-29 Blauw Wit,-51.0,0.001136836246587336
1918-09-29 LUTO,170.0,0.0
1918-09-29 Rap,-304.0,0.0
1918-09-29 Vriendschap,-251.0,0.0
1918-10-13 THB,-142.75,0.16069202539802063
1918-10-20 Bijenkorf,203.25,0.0026938184673781507
1918-10-20 Dubbel Zes,-299.75,0.0
1918-10-27 Swift²,271.25,0.005244852240139153
1918-11-03 Gelria,145.5,10.0
1918-11-03 Kattenburg,-86.75,10.0
1918-11-03 Twentsch Haagje,-92.25,10.0
1918-11-03 Westerkwartier,297.0,10.0
1918-11-10 Markelo,59.25,10.0
1918-11-10 OHS,375.25,10.0
1918-11-17 DOVA,-225.0,10.0
1918-11-24 DHBSC,59.0,10.0
1918-11-24 TIA,-134.75,10.0
1918-12-01 TOV (D),135.25,10.0
1919-05-25 DOS (M),-197.0,10.0
1919-05-25 UDI (Te),-223.25,10.0
1919-06-09 Thor (Zu),161.5,10.0
1919-06-15 Volharding,-84.5,10.0
1919-09-07 Gooiers,211.0,10.0
1919-09-14 DDM,85.0,10.0
1919-09-14 Inter Nos (A),-49.0,10.0
1919-09-14 KVD,-224.0,10.0
1919-09-14 VIJW,-55.75,10.0
1919-09-14 Zuiden,92.0,10.0
1919-09-21 Vlug en Lenig,409.0,10.0
1919-09-28 VIOD (D),-139.0,10.0
1919-10-19 HKV,532.0,10.0
1919-11-02 Noorden,-39.75,10.0
1919-11-02 Tekca,-155.5,10.0
1919-11-09 KVO,-239.25,10.0
1919-12-14 DKC (Di),35.25,10.0
1919-12-14 TOV (H),-600.0,10.0
1920-06-20 AKC (As),-207.5,10.0
1920-06-20 HBS (As),-440.5,10.0
1920-06-20 Hercules (NP),-164.0,10.0
1920-06-20 Kinea (A),205.25,10.0
1920-06-20 NKC (Ne),541.5,10.0
1920-06-20 Pro Patria,-483.5,10.0
1920-06-27 DDK (S),77.0,10.0
1920-06-27 HBS (B),-155.5,10.0
1920-06-27 Veendam,-261.25,10.0
1920-07-11 WKC (Gro),-400.0,10.0
1920-07-18 WK,101.5,10.0
1920-07-25 Quick (S),-91.0,10.0
1920-08-01 UDI (T),-91.75,10.0
